País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Montenegro,"Serbia, Rep. Fed. de (Serbia y Montenegro)",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,126.856658180001
Montenegro,Suiza,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,59.4749175905272
Montenegro,Bosnia y Herzegovina,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,39.4919316514135
Montenegro,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,34.5536195566365
Montenegro,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,29.9112712128014
Montenegro,"Serbia, Rep. Fed. de (Serbia y Montenegro)",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,591.588828101247
Montenegro,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,289.705622965882
Montenegro,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,272.66347402692
Montenegro,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,183.660746017634
Montenegro,Grecia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,174.32178909643
Montenegro,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),13.4498013447151
Montenegro,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),3.36399927312556
Montenegro,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),245.882622487935
Montenegro,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),15.6429646406436
Montenegro,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),50.5387608922313
Montenegro,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),101.360993279999
Montenegro,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),30.4345232010703
Montenegro,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),5.44520279444988
Montenegro,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),50.7780026428013
Montenegro,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),95.5709079313555
Montenegro,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),151.975970053348
Montenegro,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),4.32856022849527
Montenegro,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),13.3248609642881
Montenegro,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),3.41784809237071
Montenegro,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),10.9003246833225
Montenegro,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),35.4608878783587
Montenegro,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),39.9705580474533
Montenegro,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),41.400707374841
Montenegro,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.690426411316488
Montenegro,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),117.89468540065
Montenegro,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),589.089224492409
Montenegro,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),1646.73153415564
Montenegro,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),444.083596738113
Montenegro,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),265.620688603319
Montenegro,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),515.916303811385
Montenegro,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),2945.52610131711
Montenegro,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),1853487.47507327
Montenegro,...,2021,...,Aranceles,N.o de acuerdos arancelarios,15
Montenegro,...,2021,...,Importación,Número de asociados importadores,180
Montenegro,...,2021,...,Importación,Número de productos importados,3681
Montenegro,...,2021,...,Exportación,Número de asociados exportadores,107
Montenegro,...,2021,...,Exportación,Número de productos exportados,1700
Montenegro,...,2018,...,Others,Population,622345
Montenegro,...,2016,...,Others,LPI Score,2.380016
Montenegro,...,2016,...,Others,LPI Rank,123
Montenegro,...,2019,...,Others,Trading Across Borders Rank,41
Montenegro,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0697069
Montenegro,...,2019,...,Others,Ease of Doing Business Rank,50
Montenegro,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0925152
Montenegro,"Serbia, Rep. Fed. de (Serbia y Montenegro)",2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,24.5886
Montenegro,Suiza,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,11.528
Montenegro,Bosnia y Herzegovina,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.6547
Montenegro,No especificados ,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.6975
Montenegro,Italia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.7977
Montenegro,"Serbia, Rep. Fed. de (Serbia y Montenegro)",2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,20.0843
Montenegro,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,9.8354
Montenegro,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,9.2569
Montenegro,Italia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.2352
Montenegro,Grecia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.9182
Montenegro,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),2.607
Montenegro,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.652
Montenegro,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),47.6594
Montenegro,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),8.0247
Montenegro,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.1338
Montenegro,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),22.8515
Montenegro,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),18.5245
Montenegro,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),29.4575
Montenegro,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),6.8734
Montenegro,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),7.7475
Montenegro,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),3.0321
Montenegro,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),9.7959
Montenegro,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),19.6468
Montenegro,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),5.8991
Montenegro,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),1.0554
Montenegro,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),9.8423
Montenegro,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.839
Montenegro,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),2.5828
Montenegro,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.6625
Montenegro,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),2.1128
Montenegro,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),19.9995
Montenegro,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),55.9062
Montenegro,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),15.0765
Montenegro,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),9.0178
Montenegro,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),0.948558736206476
Montenegro,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),3.97794951522946
Montenegro,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),0.455176602207327
Montenegro,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),6.33858038992827
Montenegro,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Montenegro,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),25.9917084934673
Montenegro,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),1.96713323636608
Montenegro,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),3.18629071297312
Montenegro,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),45.2967910766602
Montenegro,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),68.1341421354811
Montenegro,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.94748451270656
Montenegro,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.0600327665001091
