País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Mozambique,Sudáfrica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,855.24206208
Mozambique,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,803.15523117
Mozambique,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,561.58168984
Mozambique,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,489.42671727
Mozambique,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,372.25769788
Mozambique,Sudáfrica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2252.48499839
Mozambique,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,946.3631115
Mozambique,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,739.75107672
Mozambique,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,716.750596950001
Mozambique,Singapur,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,532.43333934
Mozambique,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),2200.98698868
Mozambique,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),1192.08522389
Mozambique,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),447.36801903
Mozambique,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),39.20160902
Mozambique,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),2459.23760251
Mozambique,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),276.59816227
Mozambique,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),42.62493427
Mozambique,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),493.59127719
Mozambique,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),3.53517314
Mozambique,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),18.68873409
