País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Mauritania,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1354.26402556
Mauritania,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,350.78997135
Mauritania,Canadá,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,324.02123121
Mauritania,España,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,312.28315314
Mauritania,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,225.31203831
Mauritania,España,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,577.089220709999
Mauritania,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,539.72145844
Mauritania,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,440.03487473
Mauritania,Bélgica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,260.764972
Mauritania,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,224.10667734
Mauritania,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),10.27871631
Mauritania,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),2.81556263
Mauritania,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),438.28993996
Mauritania,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.02146023
Mauritania,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),335.8987358
Mauritania,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),24.27927044
Mauritania,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.802921
Mauritania,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),539.02711197
Mauritania,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),2049.6268106
Mauritania,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),323.94056812
Mauritania,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),13.5858983
Mauritania,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),6.43273988
Mauritania,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),1.08867773
Mauritania,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),10.02159178
Mauritania,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),12.1317468
Mauritania,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.15934651
Mauritania,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),1.21910168
Mauritania,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),385.43165577
Mauritania,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),0.44869811
Mauritania,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),2378.47706148
Mauritania,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),2156.74861382
Mauritania,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),583.57517258
Mauritania,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),690.76381026
Mauritania,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),429.37738758
Mauritania,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),3266.98880755
Mauritania,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),3860.4651096
Mauritania,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),283400.331592021
Mauritania,...,2021,...,Aranceles,N.o de acuerdos arancelarios,1
Mauritania,...,2021,...,Importación,Número de asociados importadores,141
Mauritania,...,2021,...,Importación,Número de productos importados,2269
Mauritania,...,2021,...,Exportación,Número de asociados exportadores,91
Mauritania,...,2021,...,Exportación,Número de productos exportados,281
Mauritania,...,2019,...,Others,Trading Across Borders Rank,144
Mauritania,...,2018,...,Others,Population,4403319
Mauritania,...,2019,...,Others,Ease of Doing Business Rank,152
Mauritania,...,2018,...,Others,CPIA Trade Ratings,4
Mauritania,...,2016,...,Others,LPI Score,1.866001
Mauritania,...,2016,...,Others,LPI Rank,157
Mauritania,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,41.453
Mauritania,Italia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.7374
Mauritania,Canadá,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.918
Mauritania,España,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.5587
Mauritania,Japón,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.8966
Mauritania,España,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,14.9487
Mauritania,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,13.9807
Mauritania,Francia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,11.3985
Mauritania,Bélgica,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.7548
Mauritania,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.8052
Mauritania,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),62.7375
Mauritania,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),9.9156
Mauritania,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),0.4159
Mauritania,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),0.3146
Mauritania,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),0.0862
Mauritania,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),11.7978
Mauritania,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.0137
Mauritania,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),72.8033
Mauritania,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),0.3068
Mauritania,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),0.3713
Mauritania,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.1969
Mauritania,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),0.0333
Mauritania,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),0.7432
Mauritania,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.0246
Mauritania,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),16.4992
Mauritania,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0049
Mauritania,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.0373
Mauritania,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),13.4157
Mauritania,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.0007
Mauritania,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),10.2816
Mauritania,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),15.1167
Mauritania,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),17.8933
Mauritania,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),11.1224
Mauritania,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),55.8676
Mauritania,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),8.65187793768688
Mauritania,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),9.9140993459757
Mauritania,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),11.0925771817304
Mauritania,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),7.1783813638246
Mauritania,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Mauritania,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),8.46834501629796
Mauritania,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),12.5322276745766
Mauritania,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),8.31661349317439
Mauritania,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),35
Mauritania,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),4.43220129923526
Mauritania,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.65244780702449
Mauritania,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.234929110968864
