País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Martinica,Francia,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,148.475104
Martinica,Guadalupe,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,30.202858
Martinica,Bélgica-Luxemburgo,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,20.727336
Martinica,Reino Unido,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,16.899772
Martinica,Guayana Francesa,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7.478515
Martinica,Francia,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1236.357248
Martinica,Italia,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,73.371256
Martinica,Alemania,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,64.292728
Martinica,Estados Unidos,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,56.449748
Martinica,No especificados ,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,48.859316
Martinica,Mundo,1995,Combustibles,Exportación,Exportaciones (en millones de US $),43.175664
Martinica,Mundo,1995,Metales,Exportación,Exportaciones (en millones de US $),4.27798
Martinica,Mundo,1995,Productos alimenticios,Exportación,Exportaciones (en millones de US $),41.261867
Martinica,Mundo,1995,Calzado,Exportación,Exportaciones (en millones de US $),0.467273
Martinica,Mundo,1995,Bienes de consumo,Exportación,Exportaciones (en millones de US $),72.671519
Martinica,Mundo,1995,Minerales,Exportación,Exportaciones (en millones de US $),1.577296
Martinica,Mundo,1995,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.305414
Martinica,Mundo,1995,Bienes de capital,Exportación,Exportaciones (en millones de US $),14.149208
Martinica,Mundo,1995,Reino animal,Exportación,Exportaciones (en millones de US $),1.168245
Martinica,Mundo,1995,Madera,Exportación,Exportaciones (en millones de US $),1.687481
Martinica,Mundo,1995,Materias primas,Exportación,Exportaciones (en millones de US $),105.957913
Martinica,Mundo,1995,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.170472
Martinica,Mundo,1995,Varios,Exportación,Exportaciones (en millones de US $),1.812213
Martinica,Mundo,1995,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.652132
Martinica,Mundo,1995,Transporte,Exportación,Exportaciones (en millones de US $),20.36166
Martinica,Mundo,1995,Productos químicos,Exportación,Exportaciones (en millones de US $),5.126651
Martinica,Mundo,1995,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),11.000124
Martinica,Mundo,1995,Reino vegetal,Exportación,Exportaciones (en millones de US $),108.040663
Martinica,Mundo,1995,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.830362
Martinica,Mundo,1995,Bienes intermedios,Exportación,Exportaciones (en millones de US $),7.612327
Martinica,Mundo,1995,Bienes intermedios,Importación,Importaciones (en millones de US $),239.069933
Martinica,Mundo,1995,Bienes de consumo,Importación,Importaciones (en millones de US $),982.351836000001
Martinica,Mundo,1995,Bienes de capital,Importación,Importaciones (en millones de US $),424.107808
Martinica,Mundo,1995,Materias primas,Importación,Importaciones (en millones de US $),245.416377
Martinica,Mundo,1995,Todos los productos,Exportación,Exportaciones (en millones de US $),241.915488
Martinica,Mundo,1995,Todos los productos,Importación,Importaciones (en millones de US $),1969.808128
Martinica,...,1995,...,Importación,Número de asociados importadores,129
Martinica,...,1995,...,Importación,Número de productos importados,3369
Martinica,...,1995,...,Exportación,Número de asociados exportadores,50
Martinica,...,1995,...,Exportación,Número de productos exportados,727
Martinica,Francia,1995,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,61.3748
Martinica,Guadalupe,1995,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,12.4849
Martinica,Bélgica-Luxemburgo,1995,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.568
Martinica,Reino Unido,1995,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.9858
Martinica,Guayana Francesa,1995,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.0914
Martinica,Francia,1995,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,62.7654
Martinica,Italia,1995,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.7248
Martinica,Alemania,1995,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.2639
Martinica,Estados Unidos,1995,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,2.8657
Martinica,No especificados ,1995,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,2.4804
Martinica,Mundo,1995,Productos alimenticios,Exportación,Exportaciones - Product share(en %),17.0563
Martinica,Mundo,1995,Calzado,Exportación,Exportaciones - Product share(en %),0.1932
Martinica,Mundo,1995,Bienes de consumo,Exportación,Exportaciones - Product share(en %),30.04
Martinica,Mundo,1995,Minerales,Exportación,Exportaciones - Product share(en %),0.652
Martinica,Mundo,1995,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),0.1262
Martinica,Mundo,1995,Bienes de capital,Exportación,Exportaciones - Product share(en %),5.8488
Martinica,Mundo,1995,Combustibles,Exportación,Exportaciones - Product share(en %),17.8474
