País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Mauricio,Sudáfrica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,232.25137593588
Mauricio,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,226.148853590295
Mauricio,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,152.742406141239
Mauricio,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,135.468144485333
Mauricio,Madagascar,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,129.212667506641
Mauricio,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,914.506161334437
Mauricio,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,802.443821864757
Mauricio,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,443.422606989101
Mauricio,Sudáfrica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,411.896829147071
Mauricio,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,345.184911068952
Mauricio,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),38.3223229802494
Mauricio,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),25.204677860556
Mauricio,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),61.6710699421659
Mauricio,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),40.8710383563893
Mauricio,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),453.967394960268
Mauricio,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),11.5792424656702
Mauricio,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),992.224372140934
Mauricio,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),29.2267306670184
