País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Malawi,Bélgica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,138.866424818164
Malawi,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,76.4828490691881
Malawi,Tanzanía,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,70.7425494333518
Malawi,Sudáfrica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,66.8600563173708
Malawi,Emiratos Árabes Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,46.2866870521204
Malawi,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,560.214720516389
Malawi,Sudáfrica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,546.196712278833
Malawi,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,285.174927416168
Malawi,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,223.793756345284
Malawi,Zambia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,130.021426793201
Malawi,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),0.995574148060216
Malawi,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),4.5670351355751
Malawi,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),35.0168570692564
Malawi,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),556.889762099088
Malawi,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),1.97504157597346
Malawi,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),103.932969699751
Malawi,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),0.221536357905546
Malawi,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),10.4644119724309
Malawi,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),342.355094484559
Malawi,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),11.9551094221236
Malawi,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),196.00523505119
Malawi,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),6.86064857677652
Malawi,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),24.712104017968
Malawi,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.57102888558307
Malawi,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),3.21876756116156
Malawi,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),13.7534540161549
Malawi,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),14.0609959726535
Malawi,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),4.4392054070442
Malawi,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),12.4210089013773
Malawi,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),673.989812823485
Malawi,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),949.235124241554
Malawi,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),1410.39122493124
Malawi,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),559.05346466512
Malawi,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),124.678799602027
Malawi,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),1009.46077853444
Malawi,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),3073.2354085558
Malawi,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),1545572.43691706
Malawi,...,2021,...,Aranceles,N.o de acuerdos arancelarios,7
Malawi,...,2021,...,Importación,Número de asociados importadores,158
Malawi,...,2021,...,Importación,Número de productos importados,3554
Malawi,...,2021,...,Exportación,Número de asociados exportadores,117
Malawi,...,2021,...,Exportación,Número de productos exportados,1290
Malawi,...,2018,...,Others,Population,18143315
Malawi,...,2018,...,Others,CPIA Trade Ratings,3.5
