País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Malasia,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,46351.7248748483
Malasia,Singapur,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,41847.308487154
Malasia,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,34366.2500281411
Malasia,Hong Kong (China),2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,18494.037028564
Malasia,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,18166.7202149305
Malasia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,55269.8883720879
Malasia,Singapur,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,22618.5913590153
Malasia,"Otra zona de Asia, no esp.",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,18150.4801589618
Malasia,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,18079.8682725146
Malasia,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,17790.6525836494
Malasia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),14395.1452244714
Malasia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),127470.352060213
Malasia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),153.310668351546
Malasia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),18643.2772678496
Malasia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),27018.5307927782
Malasia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),3872.18974366874
Malasia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),24389.0083691693
Malasia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),3186.60034222661
Malasia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),63983.0143929035
Malasia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),7014.77838690939
Malasia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),236.01450516682
Malasia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),94783.585117628
Malasia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),1542.20643897464
Malasia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),4699.97751466336
Malasia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),11752.293457121
Malasia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),37270.1711979641
Malasia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),21986.9945473719
Malasia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),2297.70548862822
Malasia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),5054.17184582448
Malasia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),127302.169234736
Malasia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),53718.8802730644
Malasia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),58649.2595259112
Malasia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),25011.8308497204
Malasia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),99345.5740230947
Malasia,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),299230.434394232
Malasia,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),238249.762706575
Malasia,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),156015510.810729
Malasia,...,2021,...,Aranceles,N.o de acuerdos arancelarios,1
