País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Mayotte,Francia,2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3.552685
Mayotte,Comoras,2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1.069423
Mayotte,Madagascar,2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.965007
Mayotte,Indonesia,2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.282092
Mayotte,Mauricio,2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.197316
Mayotte,Francia,2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,244.592671
Mayotte,China,2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,24.202854
Mayotte,Tailandia,2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,20.492593
Mayotte,Alemania,2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,19.737393
Mayotte,Italia,2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,14.014083
Mayotte,Mundo,2009,Combustibles,Exportación,Exportaciones (en millones de US $),0.03972
Mayotte,Mundo,2009,Metales,Exportación,Exportaciones (en millones de US $),0.71822
Mayotte,Mundo,2009,Reino vegetal,Exportación,Exportaciones (en millones de US $),0.003238
Mayotte,Mundo,2009,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.085351
Mayotte,Mundo,2009,Bienes intermedios,Exportación,Exportaciones (en millones de US $),0.711477
Mayotte,Mundo,2009,Minerales,Exportación,Exportaciones (en millones de US $),0.001051
Mayotte,Mundo,2009,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.067371
Mayotte,Mundo,2009,Bienes de capital,Exportación,Exportaciones (en millones de US $),2.553716
Mayotte,Mundo,2009,Reino animal,Exportación,Exportaciones (en millones de US $),0.760561
Mayotte,Mundo,2009,Madera,Exportación,Exportaciones (en millones de US $),0.15997
Mayotte,Mundo,2009,Materias primas,Exportación,Exportaciones (en millones de US $),1.202156
Mayotte,Mundo,2009,Productos químicos,Exportación,Exportaciones (en millones de US $),0.441496
Mayotte,Mundo,2009,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),2.03699
Mayotte,Mundo,2009,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.054119
Mayotte,Mundo,2009,Transporte,Exportación,Exportaciones (en millones de US $),1.774798
Mayotte,Mundo,2009,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.00327
Mayotte,Mundo,2009,Varios,Exportación,Exportaciones (en millones de US $),0.326834
Mayotte,Mundo,2009,Productos alimenticios,Exportación,Exportaciones (en millones de US $),0.306761
Mayotte,Mundo,2009,Calzado,Exportación,Exportaciones (en millones de US $),0.000486
Mayotte,Mundo,2009,Bienes de consumo,Exportación,Exportaciones (en millones de US $),2.312908
Mayotte,Mundo,2009,Bienes de consumo,Importación,Importaciones (en millones de US $),236.599701
Mayotte,Mundo,2009,Bienes intermedios,Importación,Importaciones (en millones de US $),62.128076
Mayotte,Mundo,2009,Bienes de capital,Importación,Importaciones (en millones de US $),159.434513
Mayotte,Mundo,2009,Materias primas,Importación,Importaciones (en millones de US $),43.761907
Mayotte,Mundo,2009,Todos los productos,Exportación,Exportaciones (en millones de US $),6.780235
Mayotte,Mundo,2009,Todos los productos,Importación,Importaciones (en millones de US $),501.924607
Mayotte,Mundo,2009,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),387957.948
Mayotte,...,2009,...,Aranceles,N.o de acuerdos arancelarios,2
Mayotte,...,2009,...,Importación,Número de asociados importadores,138
Mayotte,...,2009,...,Importación,Número de productos importados,2883
Mayotte,...,2009,...,Exportación,Número de asociados exportadores,23
Mayotte,...,2009,...,Exportación,Número de productos exportados,412
Mayotte,Francia,2009,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,52.3977
Mayotte,Comoras,2009,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,15.7727
Mayotte,Madagascar,2009,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,14.2326
Mayotte,Indonesia,2009,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.1605
Mayotte,Mauricio,2009,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.9102
Mayotte,Francia,2009,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,48.731
Mayotte,China,2009,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.822
