País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,378009.546618018
,Canadá,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,306926.85511679
,México,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,282999.907000179
,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,173469.959721599
,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,86530.29321518
,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,610112.962690301
,México,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,415359.431813467
,Canadá,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,367714.749297703
,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,239784.269128407
,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,153351.858510897
,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),359666.571610856
,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),117132.331911363
,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),245832.738430874
,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),420987.854856781
,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),108141.637389638
,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),273092.180352152
,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),123098.943604182
,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),28981.933992714
,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),503025.475838473
,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),68726.007990595
,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),1935.535357578
,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),599114.110469492
,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),3906.725679784
,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),230162.990643545
,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),51724.746179694
,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),77214.742626482
,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),395074.312211577
,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),30280.349663609
,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),113818.905219568
,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),604984.673411704
,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),1247874.86328841
,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),598731.711406234
,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),1154872.21493612
,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),290626.277436162
,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),2254704.19550941
,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),3425432.23102037
,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),2162823948.91187
,...,2021,...,Aranceles,N.o de acuerdos arancelarios,270
,...,2021,...,Importación,Número de asociados importadores,232
,...,2021,...,Importación,Número de productos importados,4553
,...,2021,...,Exportación,Número de asociados exportadores,231
,...,2021,...,Exportación,Número de productos exportados,4538
,...,2018,...,Others,Population,364290258
,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,16.7654
,Canadá,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,13.6127
,México,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,12.5515
,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.6937
,Japón,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.8378
,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,17.8113
,México,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,12.1258
,Canadá,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.7348
,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.0001
,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.4769
,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),5.4596
,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),1.2854
,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),22.31
,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),1.343
,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),5.0481
,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),26.8321
,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),3.0481
,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.0858
,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),26.5717
,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),4.7963
,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),12.1121
,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),15.9518
,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),5.195
,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),10.9031
,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),18.6715
,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.1733
,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),10.2081
,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),2.2941
,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),3.4246
,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),17.5222
,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),17.479
,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),36.4297
,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),33.7146
,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),8.4844
,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),0.976228240228182
,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),0.446151056280206
,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),3.2400148643299
,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),0.862640583378093
,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),
,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),
,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),3.28613194467806
,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),1.59969759642704
,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),3000
,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),64.0166783816997
,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,
,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,
