País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Namibia,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4099.529250328
Namibia,Zambia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1310.692478761
Namibia,"Congo, Rep. Dem. del",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,587.50775323
Namibia,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,334.371521237
Namibia,Sudáfrica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,322.654840911
Namibia,Sudáfrica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3528.077299443
Namibia,Zambia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1558.02291698
Namibia,"Congo, Rep. Dem. del",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,740.438014647
Namibia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,581.839800543
Namibia,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,449.961990898
Namibia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),160.073439696
Namibia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),2074.514801068
Namibia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),1025.453068877
Namibia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1681.271739453
Namibia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),575.950293805999
Namibia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),102.265574138
Namibia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),6.376000226
Namibia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),3032.411713823
Namibia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),144.565115745
Namibia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.706187444
Namibia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),557.289624174999
Namibia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),12.272133469
Namibia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),29.880303834
Namibia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),137.050569577
Namibia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),124.605350667
Namibia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),916.038450707
Namibia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),112.138569302
Namibia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),3069.820915846
Namibia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),129.037394852
Namibia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),607.558527797
Namibia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),3302.022771829
Namibia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),3249.859634489
Namibia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),1597.014439511
Namibia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),2799.628035738
Namibia,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),7263.807226853
Namibia,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),10991.763514665
Namibia,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),5655238.22495444
Namibia,...,2021,...,Aranceles,N.o de acuerdos arancelarios,11
Namibia,...,2021,...,Importación,Número de asociados importadores,198
Namibia,...,2021,...,Importación,Número de productos importados,4073
Namibia,...,2021,...,Exportación,Número de asociados exportadores,121
Namibia,...,2021,...,Exportación,Número de productos exportados,2823
Namibia,...,2018,...,Others,Population,2448255
Namibia,...,2016,...,Others,LPI Score,2.744745
Namibia,...,2016,...,Others,LPI Rank,79
Namibia,...,2019,...,Others,Ease of Doing Business Rank,104
Namibia,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0822302
Namibia,...,2019,...,Others,Trading Across Borders Rank,138
