País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Nueva Caledonia,China,2015,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,442.569729
Nueva Caledonia,Japón,2015,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,197.585647
Nueva Caledonia,"Corea, Rep. de",2015,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,187.312904
Nueva Caledonia,"Otra zona de Asia, no esp.",2015,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,120.573726
Nueva Caledonia,Bélgica,2015,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,51.908547
Nueva Caledonia,Francia,2015,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,649.825053
Nueva Caledonia,China,2015,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,258.307283
Nueva Caledonia,Singapur,2015,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,207.834217
Nueva Caledonia,Malasia,2015,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,169.519812
Nueva Caledonia,"Corea, Rep. de",2015,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,157.356565
Nueva Caledonia,Mundo,2015,Combustibles,Exportación,Exportaciones (en millones de US $),0.197164
Nueva Caledonia,Mundo,2015,Metales,Exportación,Exportaciones (en millones de US $),835.418236
Nueva Caledonia,Mundo,2015,Minerales,Exportación,Exportaciones (en millones de US $),237.117772
Nueva Caledonia,Mundo,2015,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1.074487
Nueva Caledonia,Mundo,2015,Bienes de capital,Exportación,Exportaciones (en millones de US $),29.604438
Nueva Caledonia,Mundo,2015,Plástico o caucho,Exportación,Exportaciones (en millones de US $),1.866812
Nueva Caledonia,Mundo,2015,Transporte,Exportación,Exportaciones (en millones de US $),21.729571
Nueva Caledonia,Mundo,2015,Reino vegetal,Exportación,Exportaciones (en millones de US $),1.90665
Nueva Caledonia,Mundo,2015,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),2.198732
Nueva Caledonia,Mundo,2015,Bienes intermedios,Exportación,Exportaciones (en millones de US $),917.47897
Nueva Caledonia,Mundo,2015,Productos químicos,Exportación,Exportaciones (en millones de US $),82.058894
Nueva Caledonia,Mundo,2015,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),10.5939
Nueva Caledonia,Mundo,2015,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.521681
Nueva Caledonia,Mundo,2015,Varios,Exportación,Exportaciones (en millones de US $),23.735518
Nueva Caledonia,Mundo,2015,Reino animal,Exportación,Exportaciones (en millones de US $),15.511569
Nueva Caledonia,Mundo,2015,Madera,Exportación,Exportaciones (en millones de US $),2.828222
Nueva Caledonia,Mundo,2015,Materias primas,Exportación,Exportaciones (en millones de US $),256.378341
Nueva Caledonia,Mundo,2015,Productos alimenticios,Exportación,Exportaciones (en millones de US $),1.976057
Nueva Caledonia,Mundo,2015,Calzado,Exportación,Exportaciones (en millones de US $),0.21035
