País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Níger,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,117.69179763
Níger,Malí,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,109.78277361
Níger,Burkina Faso,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,67.00775333
Níger,Nigeria,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,47.63844722
Níger,Emiratos Árabes Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,46.74808915
Níger,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,413.29466527
Níger,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,329.5020348
Níger,Nigeria,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,171.53239008
Níger,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,168.728494
Níger,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,136.11441347
Níger,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),9.98686006
Níger,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.31610773
Níger,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),220.10561206
Níger,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),1.56213601
Níger,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),18.16508083
Níger,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),191.39945789
Níger,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),1.23720837
Níger,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),1.67556013
Níger,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),9.42921601
Níger,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),153.33697812
Níger,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),63.82949193
Níger,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),24.78944469
Níger,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),40.28668994
Níger,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),3.10373044
Níger,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),70.4524598
Níger,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.05838497
Níger,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),0.80106409
Níger,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),11.37800474
Níger,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),0.10658882
Níger,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),191.32504353
Níger,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),624.085147100001
Níger,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),942.72746721
Níger,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),458.59893302
Níger,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),101.46294273
Níger,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),506.67256008
Níger,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),2126.91674276
Níger,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),681844.129852221
Níger,...,2021,...,Aranceles,N.o de acuerdos arancelarios,2
Níger,...,2021,...,Importación,Número de asociados importadores,139
Níger,...,2021,...,Importación,Número de productos importados,2672
Níger,...,2021,...,Exportación,Número de asociados exportadores,65
Níger,...,2021,...,Exportación,Número de productos exportados,390
Níger,...,2018,...,Others,Population,22442948
Níger,...,2018,...,Others,CPIA Trade Ratings,4
Níger,...,2016,...,Others,LPI Score,2.561951
Níger,...,2019,...,Others,Ease of Doing Business Rank,132
Níger,...,2014,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
Níger,...,2014,...,Others,No Of NTM Measures,33
Níger,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0990844
Níger,...,2016,...,Others,LPI Rank,100
Níger,...,2019,...,Others,Trading Across Borders Rank,126
Níger,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0899045
Níger,Francia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,23.2284
Níger,Malí,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,21.6674
Níger,Burkina Faso,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,13.2251
Níger,Nigeria,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.4022
Níger,Emiratos Árabes Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.2265
Níger,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,19.4316
Níger,Francia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,15.492
Níger,Nigeria,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.0648
Níger,India,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.933
Níger,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.3996
Níger,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),7.9512
Níger,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.6126
Níger,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),13.9049
Níger,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),1.9711
Níger,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.0624
Níger,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),43.4414
Níger,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),30.2635
Níger,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),12.5978
Níger,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),4.8926
Níger,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),37.7758
Níger,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),0.2442
Níger,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),2.2456
Níger,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.021
Níger,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),37.7611
Níger,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0115
Níger,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.1581
Níger,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.3083
Níger,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),3.5852
Níger,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),0.3307
Níger,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),1.861
Níger,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),29.3422
Níger,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),44.3237
Níger,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),21.5617
Níger,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),4.7704
Níger,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),11.8275971063826
Níger,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),5.01535667323387
Níger,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),7.07373528217378
Níger,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),9.60743591278569
Níger,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Níger,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),23.7732260662402
Níger,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),10.4794619983283
Níger,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),8.45809896719278
Níger,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),35
Níger,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),22.9529015515433
Níger,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.62151389841681
Níger,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.554779745056328
