País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Nigeria,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7733.67404164858
Nigeria,España,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5575.73666636403
Nigeria,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2974.08152333454
Nigeria,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2835.54774577443
Nigeria,Canadá,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2143.13828628959
Nigeria,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,12879.0770211108
Nigeria,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5350.99830218394
Nigeria,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4598.98426339293
Nigeria,Bélgica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3781.88219179562
Nigeria,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3178.6386568916
Nigeria,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),42105.687983024
Nigeria,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),380.291615732967
Nigeria,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),862.564959785007
Nigeria,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),10.6437904039408
Nigeria,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),6116.21489985029
Nigeria,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),665.26537781573
Nigeria,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),30.7066369156081
Nigeria,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),2171.12776231068
Nigeria,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),135.839475819824
Nigeria,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),64.0328615138786
Nigeria,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),1512.99751245642
Nigeria,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),1012.6748824598
Nigeria,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),48.2075167177831
Nigeria,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),92.9668825206022
Nigeria,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),4.42878167339175
Nigeria,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),112.496707814351
Nigeria,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),1634.11113201069
Nigeria,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),54.5509068005248
Nigeria,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),17.2434193563913
Nigeria,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),37394.0901704589
Nigeria,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),11854.5043646647
Nigeria,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),3965.34734390689
Nigeria,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),23558.579525675
Nigeria,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),12689.579175042
Nigeria,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),47231.7129303644
Nigeria,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),52068.2869831447
Nigeria,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),2017260.62068825
Nigeria,...,2021,...,Aranceles,N.o de acuerdos arancelarios,2
Nigeria,...,2021,...,Importación,Número de asociados importadores,201
Nigeria,...,2021,...,Importación,Número de productos importados,4013
Nigeria,...,2021,...,Exportación,Número de asociados exportadores,136
Nigeria,...,2021,...,Exportación,Número de productos exportados,608
Nigeria,...,2018,...,Others,Population,195874740
Nigeria,...,2018,...,Others,CPIA Trade Ratings,3.5
Nigeria,...,2019,...,Others,Trading Across Borders Rank,179
Nigeria,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.3201251
Nigeria,...,2016,...,Others,LPI Score,2.62809
Nigeria,...,2019,...,Others,Ease of Doing Business Rank,131
Nigeria,...,2013,...,Others,No Of NTM Affected Products (HS 6 Digit),4329
Nigeria,...,2013,...,Others,No Of NTM Measures,28
Nigeria,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.3201251
Nigeria,...,2016,...,Others,LPI Rank,90
Nigeria,...,,...,Others,Services Trade Restrictions Index - Over All,27.1
Nigeria,India,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,16.3739
Nigeria,España,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,11.8051
Nigeria,Francia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.2968
Nigeria,Países Bajos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.0035
Nigeria,Canadá,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.5375
Nigeria,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,24.735
Nigeria,Países Bajos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.2769
Nigeria,India,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.8326
Nigeria,Bélgica,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.2633
Nigeria,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.1047
Nigeria,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),1.4085
Nigeria,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.065
Nigeria,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),4.5968
Nigeria,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),1.8262
Nigeria,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.0225
Nigeria,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),12.9494
Nigeria,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),89.1471
Nigeria,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),0.8052
Nigeria,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.2876
Nigeria,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),0.1356
Nigeria,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),3.2034
Nigeria,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),2.1441
Nigeria,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),0.1021
Nigeria,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.2382
Nigeria,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),3.4598
Nigeria,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.1968
Nigeria,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.0094
Nigeria,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),0.1155
Nigeria,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.0365
Nigeria,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),79.1716
Nigeria,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),45.2455
Nigeria,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),24.371
Nigeria,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),7.6157
Nigeria,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),22.7672
Nigeria,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),11.645036112727
Nigeria,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),15.846172306929
Nigeria,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),8.68853771507079
Nigeria,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),8.42257822735623
Nigeria,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Nigeria,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),17.1350188309667
Nigeria,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),12.7037143098625
Nigeria,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),12.1999577158767
Nigeria,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),35
Nigeria,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),3.02593948121038
Nigeria,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,3.69754457366461
Nigeria,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.065236847289496
