País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Nicaragua,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3671.22226285
Nicaragua,México,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,768.62615148
Nicaragua,El Salvador,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,386.38398832
Nicaragua,Honduras,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,336.99570877
Nicaragua,Costa Rica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,189.33187141
Nicaragua,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2443.04862474
Nicaragua,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1223.88040166
Nicaragua,México,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,868.42775512
Nicaragua,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,724.1327681
Nicaragua,Guatemala,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,718.51577453
Nicaragua,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),22.11274672
Nicaragua,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),7.66325468
Nicaragua,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),742.24448164
Nicaragua,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),3.13146838
Nicaragua,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),3074.75442808
Nicaragua,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),9.96754945
Nicaragua,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),24.63092465
Nicaragua,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),971.66888249
Nicaragua,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1646.83740648
Nicaragua,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),1461.53452773
Nicaragua,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),56.79094084
Nicaragua,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),607.45740197
Nicaragua,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),1296.75148511
Nicaragua,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),30.60237062
Nicaragua,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),1918.85216285
Nicaragua,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),38.94769118
Nicaragua,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),73.47984814
Nicaragua,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),3.59630878
Nicaragua,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),959.10210579
Nicaragua,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),39.84374826
Nicaragua,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),2381.824501
Nicaragua,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),5079.23352562
Nicaragua,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),913.8817575
Nicaragua,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),1451.39621162
Nicaragua,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),6494.98486692
Nicaragua,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),9826.37947143
Nicaragua,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),6403859.20746
Nicaragua,...,2021,...,Aranceles,N.o de acuerdos arancelarios,18
Nicaragua,...,2021,...,Importación,Número de asociados importadores,174
Nicaragua,...,2021,...,Importación,Número de productos importados,3638
Nicaragua,...,2021,...,Exportación,Número de asociados exportadores,127
Nicaragua,...,2021,...,Exportación,Número de productos exportados,1968
Nicaragua,...,2018,...,Others,CPIA Trade Ratings,4.5
Nicaragua,...,2016,...,Others,LPI Score,2.531062
Nicaragua,...,2016,...,Others,LPI Rank,102
Nicaragua,...,,...,Others,Services Trade Restrictions Index - Over All,12.8
Nicaragua,...,2019,...,Others,Ease of Doing Business Rank,142
Nicaragua,...,2014,...,Others,No Of NTM Affected Products (HS 6 Digit),1026
Nicaragua,...,2014,...,Others,No Of NTM Measures,55
Nicaragua,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1543768
Nicaragua,...,2019,...,Others,Trading Across Borders Rank,84
Nicaragua,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1165638
Nicaragua,...,2018,...,Others,Population,6465513
Nicaragua,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,56.524
Nicaragua,México,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,11.8341
Nicaragua,El Salvador,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.949
Nicaragua,Honduras,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.1886
Nicaragua,Costa Rica,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.915
Nicaragua,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,24.8621
Nicaragua,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,12.455
Nicaragua,México,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.8377
Nicaragua,Países Bajos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.3693
Nicaragua,Guatemala,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.3121
Nicaragua,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),0.8744
Nicaragua,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),9.3527
Nicaragua,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),11.428
Nicaragua,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.0482
Nicaragua,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),47.3404
Nicaragua,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),14.9603
Nicaragua,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),25.3555
Nicaragua,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),22.5025
Nicaragua,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),19.9654
Nicaragua,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.4712
Nicaragua,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),29.5436
Nicaragua,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.3405
