País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Países Bajos,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,160431.582061726
Países Bajos,Bélgica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,74138.0787549308
Países Bajos,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,56096.6080050349
Países Bajos,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,45084.2223040428
Países Bajos,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,33382.2811464901
Países Bajos,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,108104.451204071
Países Bajos,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,63542.6492654147
Países Bajos,Bélgica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,61614.5194843703
Países Bajos,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,47590.027402398
Países Bajos,Reino Unido,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,31334.7538151258
Países Bajos,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),48051.6208978734
Países Bajos,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),21074.6043943199
Países Bajos,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),151409.187282608
Países Bajos,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),87772.9280105071
Países Bajos,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),42541.5572517689
Países Bajos,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),44987.2271077162
Países Bajos,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),5191.95332858615
Países Bajos,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),239884.378009851
Países Bajos,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),98852.5024232636
Países Bajos,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),143949.673086728
Países Bajos,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),38319.5604541913
Países Bajos,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),34428.6462911415
Países Bajos,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),3225.22977320679
Países Bajos,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),5310.31151865565
Países Bajos,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),205676.291430965
Países Bajos,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),28268.1602273421
Países Bajos,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),13725.029491592
Países Bajos,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),62158.5564147427
Países Bajos,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),2557.72297333275
Países Bajos,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),78616.5299547475
Países Bajos,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),127683.555188919
Países Bajos,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),201961.250005703
Países Bajos,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),184713.692762809
Países Bajos,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),83239.5633572892
Países Bajos,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),696873.257184973
Países Bajos,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),623369.106865866
Países Bajos,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),208689727.961911
Países Bajos,...,2021,...,Aranceles,N.o de acuerdos arancelarios,
Países Bajos,...,2021,...,Importación,Número de asociados importadores,226
Países Bajos,...,2021,...,Importación,Número de productos importados,4521
Países Bajos,...,2021,...,Exportación,Número de asociados exportadores,232
Países Bajos,...,2021,...,Exportación,Número de productos exportados,4499
Países Bajos,...,2019,...,Others,Ease of Doing Business Rank,42
Países Bajos,...,2019,...,Others,Trading Across Borders Rank,1
Países Bajos,...,2018,...,Others,Population,17231017
Países Bajos,...,2016,...,Others,LPI Score,4.18753
Países Bajos,...,2016,...,Others,LPI Rank,4
Países Bajos,...,,...,Others,Services Trade Restrictions Index - Over All,12.2
Países Bajos,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,23.0216
Países Bajos,Bélgica,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.6387
Países Bajos,Francia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.0498
Países Bajos,Reino Unido,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.4695
Países Bajos,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.7903
Países Bajos,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,17.342
Países Bajos,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.1934
Países Bajos,Bélgica,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,9.8841
Países Bajos,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.6343
Países Bajos,Reino Unido,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.0267
Países Bajos,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),6.8953
Países Bajos,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),3.0242
Países Bajos,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),21.7269
Países Bajos,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.4628
