País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Noruega,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,37878.590060773
Noruega,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,35548.038152729
Noruega,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,13160.327565066
Noruega,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,12844.240905894
Noruega,Suecia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,12600.419013807
Noruega,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,13121.705137401
Noruega,Suecia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,11114.9684749
Noruega,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,10975.634675414
Noruega,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,6275.899019438
Noruega,Reino Unido,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4596.126697793
Noruega,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),120515.497397897
Noruega,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),10567.398416319
Noruega,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),352.620079365
Noruega,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),438.651372125
Noruega,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),18726.187274176
Noruega,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),1299.475007239
Noruega,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),70.115311072
Noruega,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),82578.2937873291
Noruega,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),886.84173973
Noruega,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1183.183556394
Noruega,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),11667.189095422
Noruega,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),4236.536633418
Noruega,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),7487.291054968
Noruega,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),682.055206139
