País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Nepal,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1333.72582233
Nepal,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,132.61020757
Nepal,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,29.85818909
Nepal,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,23.542081379897
Nepal,Turquía,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,21.67811094
Nepal,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,9583.62608909001
Nepal,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2383.29444831
Nepal,Argentina,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,451.68671309
Nepal,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,415.52592739
Nepal,Indonesia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,366.09516462
Nepal,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),8.58358884
Nepal,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),1.64109838
Nepal,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),0.00024483
Nepal,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),25.74649317
Nepal,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),45.32761621
Nepal,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),4.78097187
Nepal,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),121.84068378
Nepal,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),10.28279238
Nepal,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),1315.59343535
Nepal,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),1.12410046
Nepal,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),11.03453385
Nepal,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),43.857154209897
Nepal,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),5.88354405989703
Nepal,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),22.09926887
Nepal,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),9.46821224
Nepal,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),4.92592719
Nepal,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),16.19970325
Nepal,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),1010.69677199
