País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Nueva Zelandia,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,13932.4708270918
Nueva Zelandia,Australia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5558.2583471645
Nueva Zelandia,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4717.25663462266
Nueva Zelandia,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2499.36831992509
Nueva Zelandia,"Corea, Rep. de",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1394.39440446151
Nueva Zelandia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,11774.0530836631
Nueva Zelandia,Australia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5544.20564599061
Nueva Zelandia,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4257.54792379252
Nueva Zelandia,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3122.58914637635
Nueva Zelandia,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2410.20440813402
Nueva Zelandia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),2172.8839033645
Nueva Zelandia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),2133.0063501236
Nueva Zelandia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),3612.60661857778
Nueva Zelandia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),667.034796425443
Nueva Zelandia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),13821.6247955695
Nueva Zelandia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),409.413764082059
Nueva Zelandia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),493.664727809816
Nueva Zelandia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),511.896476922676
Nueva Zelandia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),1733.73542798665
Nueva Zelandia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),201.304932698443
Nueva Zelandia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),1414.69637424784
Nueva Zelandia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),5194.64662986284
Nueva Zelandia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),32.4313006186003
Nueva Zelandia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),10618.0628492659
Nueva Zelandia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),20371.3215960736
Nueva Zelandia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),4798.0249813041
Nueva Zelandia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),16103.7067272093
Nueva Zelandia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),86.8159672539523
Nueva Zelandia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),491.803973113705
Nueva Zelandia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),3562.29929949985
Nueva Zelandia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),8602.24327826953
Nueva Zelandia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),22414.5039587262
Nueva Zelandia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),14572.0143950247
Nueva Zelandia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),3632.11978302001
Nueva Zelandia,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),44325.2878204656
Nueva Zelandia,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),49221.4089557089
Nueva Zelandia,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),36558855.0516184
Nueva Zelandia,...,2021,...,Aranceles,N.o de acuerdos arancelarios,18
Nueva Zelandia,...,2021,...,Importación,Número de asociados importadores,224
Nueva Zelandia,...,2021,...,Importación,Número de productos importados,4262
Nueva Zelandia,...,2021,...,Exportación,Número de asociados exportadores,213
Nueva Zelandia,...,2021,...,Exportación,Número de productos exportados,3701
Nueva Zelandia,...,2016,...,Others,LPI Score,3.388
Nueva Zelandia,...,2019,...,Others,Ease of Doing Business Rank,1
Nueva Zelandia,...,2015,...,Others,No Of NTM Affected Products (HS 6 Digit),5208
Nueva Zelandia,...,2015,...,Others,No Of NTM Measures,75
Nueva Zelandia,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.120615
Nueva Zelandia,...,2019,...,Others,Trading Across Borders Rank,63
Nueva Zelandia,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1128678
Nueva Zelandia,...,,...,Others,Services Trade Restrictions Index - Over All,11
Nueva Zelandia,...,2013,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.1107577905
Nueva Zelandia,...,2018,...,Others,Population,4885500
Nueva Zelandia,...,2016,...,Others,LPI Rank,37
Nueva Zelandia,...,2013,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.3099573851
Nueva Zelandia,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,31.4323
