País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
"Otra zona de Asia, no esp.",China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,126253.718680782
"Otra zona de Asia, no esp.",Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,65947.0463070442
"Otra zona de Asia, no esp.",Hong Kong (China),2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,63161.936112089
"Otra zona de Asia, no esp.",Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,29297.9449874133
"Otra zona de Asia, no esp.",Singapur,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,25796.2802801068
"Otra zona de Asia, no esp.",China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,82705.89187837
"Otra zona de Asia, no esp.",Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,56274.240174733
"Otra zona de Asia, no esp.",Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,39786.6605612748
"Otra zona de Asia, no esp.","Corea, Rep. de",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,30719.6647927639
"Otra zona de Asia, no esp.","Otra zona de Asia, no esp.",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,15797.1656269173
"Otra zona de Asia, no esp.",Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),23440.8451791465
"Otra zona de Asia, no esp.",Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),274899.578722199
"Otra zona de Asia, no esp.",Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),30051.8533444156
"Otra zona de Asia, no esp.",Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),14625.268355149
"Otra zona de Asia, no esp.",Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),2108.01261039894
"Otra zona de Asia, no esp.",Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),5116.09763161861
"Otra zona de Asia, no esp.",Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),284012.421405113
"Otra zona de Asia, no esp.",Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),493.857301902186
