País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Omán,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,26089.8145989614
Omán,Emiratos Árabes Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3843.45519294468
Omán,Arabia Saudita,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1728.63926127387
Omán,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1702.16979447525
Omán,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1326.41573004379
Omán,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,11022.8752207206
Omán,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2164.59485747067
Omán,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2034.13598121189
Omán,Qatar,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1989.45157295933
Omán,Brasil,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1506.12726162211
Omán,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),895.039345803424
Omán,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),27.1342184230746
Omán,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),12149.8462020518
Omán,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),537.387164308534
Omán,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),176.200644717744
Omán,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),9391.9845548724
Omán,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),1417.38815122782
Omán,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),334.676660074411
Omán,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),2236.62760118108
Omán,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),26963.4462594927
Omán,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),3526.55223895429
Omán,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),2380.14261526078
Omán,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),2332.67180909319
Omán,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),3343.61665536542
Omán,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),1212.57713984484
Omán,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),845.718628065266
Omán,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),272.799536634187
Omán,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),20773.1802015602
Omán,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),7.18211702387052
Omán,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),318.393336302754
