País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Pakistán,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6076.91290806973
Pakistán,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3033.90004786508
Pakistán,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2104.40872890747
Pakistán,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1563.81334491185
Pakistán,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1397.05970852002
Pakistán,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,20644.679087464
Pakistán,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,7351.85764159137
Pakistán,Indonesia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4191.44315953465
Pakistán,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3829.8969961905
Pakistán,Arabia Saudita,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3769.94869312298
Pakistán,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),882.462686509754
Pakistán,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),896.04836692153
Pakistán,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),1000.92177177215
Pakistán,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),145.960127475332
Pakistán,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),17938.9792431908
Pakistán,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),536.641375164995
Pakistán,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),208.802847014702
Pakistán,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),3669.96747155848
Pakistán,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),17457.0712862484
Pakistán,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),6861.02995494731
Pakistán,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),445.192670086003
Pakistán,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),390.60566495915
Pakistán,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),811.708047144476
Pakistán,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),106.117731880227
Pakistán,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),2968.75052504546
Pakistán,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),201.354930553806
Pakistán,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),1311.10793991211
Pakistán,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),635.101937664116
Pakistán,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),96.1142310970275
Pakistán,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),1024.03919908291
