País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Panamá,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1199.247558
Panamá,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,497.323111
Panamá,"Corea, Rep. de",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,386.706817
Panamá,España,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,328.220306
Panamá,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,191.550008
Panamá,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3395.263358
Panamá,Zonas francas,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3051.963842
Panamá,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1578.194528
Panamá,México,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,649.675675
Panamá,Costa Rica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,536.725286
Panamá,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),6.921918
Panamá,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),110.100225
Panamá,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),2946.627959
Panamá,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),20.9343
Panamá,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),13.957004
Panamá,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),294.78908
Panamá,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),5.8943
Panamá,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),176.128968
Panamá,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),166.592217
Panamá,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),74.523227
Panamá,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),3444.708315
Panamá,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),8.296916
Panamá,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),
Panamá,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),52.438365
Panamá,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),
Panamá,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),4.224319
Panamá,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),1.381585
Panamá,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),89.148876
Panamá,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.049364
Panamá,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),147.128364
Panamá,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),1773.856568
Panamá,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),8529.694277
Panamá,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),2298.495056
Panamá,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),702.382821
Panamá,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),3781.922651
Panamá,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),13312.799623
Panamá,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),4275754.564
Panamá,...,2021,...,Aranceles,N.o de acuerdos arancelarios,1
Panamá,...,2021,...,Importación,Número de asociados importadores,105
Panamá,...,2021,...,Importación,Número de productos importados,3743
Panamá,...,2021,...,Exportación,Número de asociados exportadores,99
Panamá,...,2021,...,Exportación,Número de productos exportados,379
Panamá,...,2018,...,Others,Population,4176873
Panamá,...,2016,...,Others,LPI Score,3.337843
Panamá,...,2016,...,Others,LPI Rank,40
Panamá,...,2019,...,Others,Ease of Doing Business Rank,86
Panamá,...,2014,...,Others,No Of NTM Affected Products (HS 6 Digit),1211
Panamá,...,2014,...,Others,No Of NTM Measures,46
Panamá,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0749899
Panamá,...,,...,Others,Services Trade Restrictions Index - Over All,47.8
Panamá,...,2019,...,Others,Trading Across Borders Rank,59
Panamá,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0749899
Panamá,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,31.71
Panamá,Japón,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,13.15
Panamá,"Corea, Rep. de",2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.2251
Panamá,España,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.6787
Panamá,India,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.0649
Panamá,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,25.5038
Panamá,Zonas francas,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,22.925
Panamá,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,11.8547
Panamá,México,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.8801
Panamá,Costa Rica,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.0316
Panamá,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),4.405
Panamá,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),1.9705
Panamá,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),91.0835
Panamá,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),7.7947
Panamá,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.1559
Panamá,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),4.6571
Panamá,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),77.9135
Panamá,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),0.5535
Panamá,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),0.369
Panamá,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),0.183
Panamá,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),2.9112
Panamá,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),1.3866
Panamá,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),
Panamá,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.2194
Panamá,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),
Panamá,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.1117
Panamá,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.0365
Panamá,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),2.3572
Panamá,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.0013
Panamá,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),3.8903
Panamá,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),13.3244
Panamá,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),5.276
Panamá,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),64.0714
Panamá,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),17.2653
Panamá,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),4.49167245941575
Panamá,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),2.32158390515969
Panamá,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),7.27503977096021
Panamá,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),18.4560919443032
Panamá,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Panamá,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),19.6135212457274
Panamá,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),5.98696462901573
Panamá,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),6.42605363686605
Panamá,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),260
Panamá,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),33.3849182640038
