País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Perú,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,17994.760657291
Perú,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7192.891164356
Perú,"Corea, Rep. de",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2799.183947801
Perú,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2780.238938242
Perú,Canadá,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2740.34107687
Perú,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,14611.64091914
Perú,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,9562.25867855
Perú,Brasil,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3430.91082003
Perú,Argentina,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2313.80189786
Perú,México,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1891.29971184
Perú,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),3955.025336204
Perú,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),29.166864871
Perú,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),8222.015199165
Perú,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),7528.279551302
Perú,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1633.670012656
Perú,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),17976.028294954
Perú,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),21902.4775979
Perú,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),8294.252145481
Perú,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),455.142467966
Perú,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),804.40487721
Perú,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),63.88292556
Perú,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),3932.80062353
Perú,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),5239.456610536
Perú,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),1120.28067662
Perú,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),276.605141134
Perú,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),29606.778175671
Perú,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),16.252708394
Perú,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),138.953200886
Perú,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),954.490666712
Perú,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),370.11626376
Perú,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),17436.97140094
Perú,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),14369.65618483
Perú,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),13998.26575015
Perú,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),5372.53371101
Perú,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),56260.115202756
Perú,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),51177.70772121
Perú,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),28864923.98777
Perú,...,2021,...,Aranceles,N.o de acuerdos arancelarios,56
Perú,...,2021,...,Importación,Número de asociados importadores,219
Perú,...,2021,...,Importación,Número de productos importados,4103
Perú,...,2021,...,Exportación,Número de asociados exportadores,164
Perú,...,2021,...,Exportación,Número de productos exportados,3346
Perú,...,2016,...,Others,LPI Score,2.893389
Perú,...,2019,...,Others,Ease of Doing Business Rank,76
Perú,...,2014,...,Others,No Of NTM Affected Products (HS 6 Digit),1972
Perú,...,2014,...,Others,No Of NTM Measures,53
Perú,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1004942
Perú,...,,...,Others,Services Trade Restrictions Index - Over All,16.4
Perú,...,2019,...,Others,Trading Across Borders Rank,102
Perú,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0931461
Perú,...,2013,...,Others,Temporary Trade Barriers in Effect - Weighted Average,1.467296243
Perú,...,2018,...,Others,Population,31989256
Perú,...,2016,...,Others,LPI Rank,69
Perú,...,2013,...,Others,Temporary Trade Barriers in Effect - Simple Average,5.656722069
Perú,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,31.9849
Perú,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,12.7851
Perú,"Corea, Rep. de",2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.9754
Perú,Japón,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.9418
Perú,Canadá,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.8708
Perú,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,28.5508
Perú,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,18.6844
Perú,Brasil,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.7039
Perú,Argentina,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.5211
Perú,México,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.6956
Perú,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),13.3812
Perú,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),2.9038
Perú,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),31.9516
Perú,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),6.9904
Perú,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),9.3129
Perú,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),1.6966
