País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Filipinas,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11858.657197
Filipinas,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11530.840475
Filipinas,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,10722.303731
Filipinas,Hong Kong (China),2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,9931.547214
Filipinas,Singapur,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4194.783019
Filipinas,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,28210.340121
Filipinas,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,11832.462576
Filipinas,"Corea, Rep. de",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,9630.014432
Filipinas,Indonesia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,9030.468696
Filipinas,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,8277.981266
Filipinas,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),3818.352971
Filipinas,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1053.53158
Filipinas,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),8843.336653
Filipinas,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),1247.823226
Filipinas,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),47246.756186
Filipinas,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),721.912169
Filipinas,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),3619.302431
Filipinas,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),1847.253554
Filipinas,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),2128.680752
Filipinas,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),348.842812
Filipinas,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),1035.499918
Filipinas,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),6151.896199
Filipinas,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),2767.091093
Filipinas,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),151.402953
Filipinas,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),12445.473814
Filipinas,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),2019.322122
Filipinas,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1423.365944
Filipinas,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),47105.200372
Filipinas,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),881.566806
Filipinas,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),4308.824238
Filipinas,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),28487.476079
Filipinas,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),12501.995596
Filipinas,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),35667.939905
Filipinas,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),47720.3619679999
Filipinas,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),74619.528755
Filipinas,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),124390.447217
Filipinas,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),88987313.333
Filipinas,...,2021,...,Aranceles,N.o de acuerdos arancelarios,11
Filipinas,...,2021,...,Importación,Número de asociados importadores,205
Filipinas,...,2021,...,Importación,Número de productos importados,4316
Filipinas,...,2021,...,Exportación,Número de asociados exportadores,200
Filipinas,...,2021,...,Exportación,Número de productos exportados,2830
