País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Palau,Japón,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6.65685870999999
Palau,No especificados ,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.77155517
Palau,Panamá,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.40108635
Palau,"Micronesia, Estados Fed. de",2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.28570586
Palau,Estados Unidos,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.22620675
Palau,Estados Unidos,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,53.6732778900001
Palau,Singapur,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,26.2829815
Palau,"Corea, Rep. de",2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,15.85208578
Palau,Japón,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,15.58630913
Palau,China,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,8.80685464
Palau,Mundo,2018,Reino vegetal,Exportación,Exportaciones (en millones de US $),0.000935
Palau,Mundo,2018,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.0016276
Palau,Mundo,2018,Bienes intermedios,Exportación,Exportaciones (en millones de US $),0.04184754
Palau,Mundo,2018,Combustibles,Exportación,Exportaciones (en millones de US $),
Palau,Mundo,2018,Metales,Exportación,Exportaciones (en millones de US $),0.17988895
Palau,Mundo,2018,Productos alimenticios,Exportación,Exportaciones (en millones de US $),0.04518148
Palau,Mundo,2018,Calzado,Exportación,Exportaciones (en millones de US $),0.00032218
Palau,Mundo,2018,Bienes de consumo,Exportación,Exportaciones (en millones de US $),0.14667912
Palau,Mundo,2018,Minerales,Exportación,Exportaciones (en millones de US $),0.0490822
Palau,Mundo,2018,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.00020308
Palau,Mundo,2018,Bienes de capital,Exportación,Exportaciones (en millones de US $),0.63559389
Palau,Mundo,2018,Productos químicos,Exportación,Exportaciones (en millones de US $),0.03665919
Palau,Mundo,2018,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),0.16370555
Palau,Mundo,2018,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.02415859
Palau,Mundo,2018,Transporte,Exportación,Exportaciones (en millones de US $),0.47093126
Palau,Mundo,2018,Reino animal,Exportación,Exportaciones (en millones de US $),7.60281198
Palau,Mundo,2018,Madera,Exportación,Exportaciones (en millones de US $),0.03081164
Palau,Mundo,2018,Materias primas,Exportación,Exportaciones (en millones de US $),7.79052948
Palau,Mundo,2018,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.000278
Palau,Mundo,2018,Varios,Exportación,Exportaciones (en millones de US $),0.01431135
Palau,Mundo,2018,Bienes intermedios,Importación,Importaciones (en millones de US $),13.73724294
Palau,Mundo,2018,Bienes de consumo,Importación,Importaciones (en millones de US $),100.93933595
Palau,Mundo,2018,Bienes de capital,Importación,Importaciones (en millones de US $),27.00854849
Palau,Mundo,2018,Materias primas,Importación,Importaciones (en millones de US $),9.74446427
Palau,Mundo,2018,Todos los productos,Exportación,Exportaciones (en millones de US $),8.62090805
Palau,Mundo,2018,Todos los productos,Importación,Importaciones (en millones de US $),154.41282668
Palau,Mundo,2018,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),30863.98072
Palau,...,2018,...,Aranceles,N.o de acuerdos arancelarios,1
Palau,...,2018,...,Importación,Número de asociados importadores,116
Palau,...,2018,...,Importación,Número de productos importados,2984
Palau,...,2018,...,Exportación,Número de asociados exportadores,18
Palau,...,2018,...,Exportación,Número de productos exportados,126
Palau,...,2019,...,Others,Ease of Doing Business Rank,145
Palau,...,2019,...,Others,Trading Across Borders Rank,139
Palau,...,2018,...,Others,Population,17907
Palau,Japón,2018,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,77.2176
Palau,No especificados ,2018,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.9498
Palau,Panamá,2018,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.6525
Palau,"Micronesia, Estados Fed. de",2018,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.3141
