País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Papua Nueva Guinea,Australia,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1621.045419
Papua Nueva Guinea,Japón,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,528.202645
Papua Nueva Guinea,Alemania,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,318.136984
Papua Nueva Guinea,China,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,302.113039
Papua Nueva Guinea,Singapur,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,253.899412
Papua Nueva Guinea,Australia,2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2865.41271
Papua Nueva Guinea,Singapur,2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1192.375423
Papua Nueva Guinea,China,2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,574.783704
Papua Nueva Guinea,Japón,2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,532.633861
Papua Nueva Guinea,Malasia,2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,527.927824
Papua Nueva Guinea,Mundo,2012,Productos químicos,Exportación,Exportaciones (en millones de US $),176.790637
Papua Nueva Guinea,Mundo,2012,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),76.514944
Papua Nueva Guinea,Mundo,2012,Reino vegetal,Exportación,Exportaciones (en millones de US $),882.041206
Papua Nueva Guinea,Mundo,2012,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1.135277
Papua Nueva Guinea,Mundo,2012,Bienes intermedios,Exportación,Exportaciones (en millones de US $),2406.808792
Papua Nueva Guinea,Mundo,2012,Plástico o caucho,Exportación,Exportaciones (en millones de US $),64.327613
Papua Nueva Guinea,Mundo,2012,Transporte,Exportación,Exportaciones (en millones de US $),59.129359
Papua Nueva Guinea,Mundo,2012,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.869785
Papua Nueva Guinea,Mundo,2012,Varios,Exportación,Exportaciones (en millones de US $),20.215404
Papua Nueva Guinea,Mundo,2012,Reino animal,Exportación,Exportaciones (en millones de US $),138.479527
Papua Nueva Guinea,Mundo,2012,Madera,Exportación,Exportaciones (en millones de US $),272.810882
Papua Nueva Guinea,Mundo,2012,Materias primas,Exportación,Exportaciones (en millones de US $),1722.744097
Papua Nueva Guinea,Mundo,2012,Minerales,Exportación,Exportaciones (en millones de US $),863.221652
Papua Nueva Guinea,Mundo,2012,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1505.49179
Papua Nueva Guinea,Mundo,2012,Bienes de capital,Exportación,Exportaciones (en millones de US $),138.828106
Papua Nueva Guinea,Mundo,2012,Productos alimenticios,Exportación,Exportaciones (en millones de US $),204.187276
Papua Nueva Guinea,Mundo,2012,Calzado,Exportación,Exportaciones (en millones de US $),0.183779
Papua Nueva Guinea,Mundo,2012,Bienes de consumo,Exportación,Exportaciones (en millones de US $),237.50855
Papua Nueva Guinea,Mundo,2012,Combustibles,Exportación,Exportaciones (en millones de US $),132.114591
Papua Nueva Guinea,Mundo,2012,Metales,Exportación,Exportaciones (en millones de US $),120.172552
Papua Nueva Guinea,Mundo,2012,Bienes intermedios,Importación,Importaciones (en millones de US $),1082.668223
Papua Nueva Guinea,Mundo,2012,Bienes de capital,Importación,Importaciones (en millones de US $),3500.051698
Papua Nueva Guinea,Mundo,2012,Materias primas,Importación,Importaciones (en millones de US $),1142.528514
Papua Nueva Guinea,Mundo,2012,Bienes de consumo,Importación,Importaciones (en millones de US $),2499.357867
Papua Nueva Guinea,Mundo,2012,Todos los productos,Exportación,Exportaciones (en millones de US $),4517.686274
Papua Nueva Guinea,Mundo,2012,Todos los productos,Importación,Importaciones (en millones de US $),8340.687556
Papua Nueva Guinea,Mundo,2012,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),7134493.572
Papua Nueva Guinea,...,2012,...,Aranceles,N.o de acuerdos arancelarios,1
Papua Nueva Guinea,...,2012,...,Importación,Número de asociados importadores,167
Papua Nueva Guinea,...,2012,...,Importación,Número de productos importados,3883
Papua Nueva Guinea,...,2012,...,Exportación,Número de asociados exportadores,85
Papua Nueva Guinea,...,2012,...,Exportación,Número de productos exportados,959
Papua Nueva Guinea,...,2019,...,Others,Ease of Doing Business Rank,120
Papua Nueva Guinea,...,2018,...,Others,CPIA Trade Ratings,4
Papua Nueva Guinea,...,2019,...,Others,Trading Across Borders Rank,125
Papua Nueva Guinea,...,2016,...,Others,LPI Score,2.510624
Papua Nueva Guinea,...,2016,...,Others,LPI Rank,105
Papua Nueva Guinea,...,2018,...,Others,Population,8606316
Papua Nueva Guinea,Australia,2012,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,35.8822
Papua Nueva Guinea,Japón,2012,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,11.6919
Papua Nueva Guinea,Alemania,2012,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.042
Papua Nueva Guinea,China,2012,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.6873
Papua Nueva Guinea,Singapur,2012,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.6201
Papua Nueva Guinea,Australia,2012,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,34.3546
Papua Nueva Guinea,Singapur,2012,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,14.2959
Papua Nueva Guinea,China,2012,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.8913
Papua Nueva Guinea,Japón,2012,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.386
Papua Nueva Guinea,Malasia,2012,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.3295
Papua Nueva Guinea,Mundo,2012,Reino animal,Exportación,Exportaciones - Product share(en %),3.0653
Papua Nueva Guinea,Mundo,2012,Madera,Exportación,Exportaciones - Product share(en %),6.0387
Papua Nueva Guinea,Mundo,2012,Materias primas,Exportación,Exportaciones - Product share(en %),38.1333
Papua Nueva Guinea,Mundo,2012,Plástico o caucho,Exportación,Exportaciones - Product share(en %),1.4239
Papua Nueva Guinea,Mundo,2012,Transporte,Exportación,Exportaciones - Product share(en %),1.3088
Papua Nueva Guinea,Mundo,2012,Reino vegetal,Exportación,Exportaciones - Product share(en %),19.5242
Papua Nueva Guinea,Mundo,2012,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.0251
Papua Nueva Guinea,Mundo,2012,Bienes intermedios,Exportación,Exportaciones - Product share(en %),53.2753
Papua Nueva Guinea,Mundo,2012,Productos químicos,Exportación,Exportaciones - Product share(en %),3.9133
Papua Nueva Guinea,Mundo,2012,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),1.6937
Papua Nueva Guinea,Mundo,2012,Minerales,Exportación,Exportaciones - Product share(en %),19.1076
Papua Nueva Guinea,Mundo,2012,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),33.3244
Papua Nueva Guinea,Mundo,2012,Bienes de capital,Exportación,Exportaciones - Product share(en %),3.073
Papua Nueva Guinea,Mundo,2012,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0193
Papua Nueva Guinea,Mundo,2012,Varios,Exportación,Exportaciones - Product share(en %),0.4475
Papua Nueva Guinea,Mundo,2012,Productos alimenticios,Exportación,Exportaciones - Product share(en %),4.5197
Papua Nueva Guinea,Mundo,2012,Calzado,Exportación,Exportaciones - Product share(en %),0.0041
Papua Nueva Guinea,Mundo,2012,Bienes de consumo,Exportación,Exportaciones - Product share(en %),5.2573
Papua Nueva Guinea,Mundo,2012,Combustibles,Exportación,Exportaciones - Product share(en %),2.9244
Papua Nueva Guinea,Mundo,2012,Metales,Exportación,Exportaciones - Product share(en %),2.66
Papua Nueva Guinea,Mundo,2012,Bienes de capital,Importación,Importaciones - Product share(en %),41.9636
Papua Nueva Guinea,Mundo,2012,Bienes intermedios,Importación,Importaciones - Product share(en %),12.9806
Papua Nueva Guinea,Mundo,2012,Materias primas,Importación,Importaciones - Product share(en %),13.6983
Papua Nueva Guinea,Mundo,2012,Bienes de consumo,Importación,Importaciones - Product share(en %),29.9658
Papua Nueva Guinea,Mundo,2012,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),4.45393902039351
Papua Nueva Guinea,Mundo,2012,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),0.660484587123548
Papua Nueva Guinea,Mundo,2012,Materias primas,Aranceles,Promedio ponderado de aranceles (%),1.29786352914724
Papua Nueva Guinea,Mundo,2012,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),4.8429745540882
Papua Nueva Guinea,Mundo,2012,Todos los productos,Trade Indicator,Crecimiento mundial (%),-0.0214717700142586
Papua Nueva Guinea,Mundo,2012,Todos los productos,Trade Indicator,Crecimiento del país (%),-3.01755613220971
Papua Nueva Guinea,Mundo,2012,Todos los productos,Aranceles,Promedio simple de aranceles (%),4.70859191877942
Papua Nueva Guinea,Mundo,2012,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),2.56661537286905
Papua Nueva Guinea,Mundo,2012,Todos los productos,Aranceles,Tasa máxima de aranceles (%),876.070617675781
Papua Nueva Guinea,Mundo,2012,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),73.5398452557191
Papua Nueva Guinea,...,2012,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.63469086870776
Papua Nueva Guinea,...,2012,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.240612514448189
