País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Polonia,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,91052.397146
Polonia,República Checa,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,19029.902244
Polonia,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,18108.958536
Polonia,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,16137.558915
Polonia,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,14089.016093
Polonia,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,70635.849296
Polonia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,49662.974026
Polonia,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,20114.278862
Polonia,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,16740.649177
Polonia,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,13714.264462
Polonia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),7040.758764
Polonia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),34809.863009
Polonia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),22298.432698
Polonia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),79783.560857
Polonia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),22603.060191
Polonia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),3448.528975
Polonia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),140580.676293
Polonia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),8579.593735
Polonia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),14982.282512
Polonia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),61442.6220689999
Polonia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),22233.975966
Polonia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),35981.897601
Polonia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),492.015641
Polonia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),8029.25365
Polonia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),94830.470714
Polonia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),1385.400475
Polonia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),28704.609023
Polonia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),12228.920684
Polonia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),15229.971161
Polonia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),20770.281561
Polonia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),85682.5547850001
Polonia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),109765.453573
Polonia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),101316.562541
Polonia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),30939.023119
Polonia,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),317832.124942
Polonia,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),335451.322206
Polonia,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),86732019.04
Polonia,...,2021,...,Aranceles,N.o de acuerdos arancelarios,
Polonia,...,2021,...,Importación,Número de asociados importadores,232
Polonia,...,2021,...,Importación,Número de productos importados,4470
Polonia,...,2021,...,Exportación,Número de asociados exportadores,223
Polonia,...,2021,...,Exportación,Número de productos exportados,4313
Polonia,...,2019,...,Others,Ease of Doing Business Rank,40
Polonia,...,2019,...,Others,Trading Across Borders Rank,1
Polonia,...,2018,...,Others,Population,37978548
Polonia,...,2016,...,Others,LPI Score,3.425877
Polonia,...,2016,...,Others,LPI Rank,33
Polonia,...,,...,Others,Services Trade Restrictions Index - Over All,11
Polonia,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,28.648
Polonia,República Checa,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.9874
Polonia,Francia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.6976
Polonia,Reino Unido,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.0774
Polonia,Italia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.4328
Polonia,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,21.057
Polonia,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,14.8048
Polonia,Federación de Rusia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.9962
Polonia,Italia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.9905
Polonia,Países Bajos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.0883
Polonia,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.1548
Polonia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),2.5263
Polonia,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),29.8367
Polonia,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),2.6994
Polonia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),4.7139
Polonia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),19.3318
Polonia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),7.1116
Polonia,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),1.085
Polonia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),44.2311
Polonia,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),7.0158
Polonia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),25.1024
Polonia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),6.9955
Polonia,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),11.321
Polonia,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),2.2152
Polonia,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),10.9523
Polonia,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),3.8476
Polonia,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),4.7918
Polonia,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),6.535
Polonia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.4359
Polonia,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),9.0314
Polonia,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),25.5425
Polonia,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),30.2031
Polonia,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),32.7217
Polonia,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),9.2231
Polonia,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),1.78211985619156
Polonia,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),3.46324391935965
Polonia,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),0.708677757606996
Polonia,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),0.616513329907401
Polonia,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Polonia,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),10.882252846646
Polonia,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),2.3086920772462
Polonia,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),1.81725948165045
Polonia,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),193.426300048828
Polonia,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),60.7763034863529
Polonia,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,23.0941252767404
Polonia,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.0902029263849696
