País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Portugal,España,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,20125.6453489026
Portugal,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,9867.96744848201
Portugal,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,8292.67160945871
Portugal,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4195.25429167661
Portugal,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3910.48560327364
Portugal,España,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,32288.5923207427
Portugal,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,12210.7759799163
Portugal,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,6593.8618071923
Portugal,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5245.01884605496
Portugal,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5063.56372894287
Portugal,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),4341.56069559116
Portugal,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),6710.66599713398
Portugal,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),5791.90649045247
Portugal,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),9937.34198497867
Portugal,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),3217.99941202697
Portugal,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),6402.007453001
Portugal,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),17920.5594693902
Portugal,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),4763.1864592475
Portugal,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),2129.79142261721
Portugal,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),35880.9411024703
Portugal,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),1176.4286813864
Portugal,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),2528.03433464947
Portugal,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),15607.3888701967
Portugal,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),4647.73185997409
Portugal,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),10737.3978136842
Portugal,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),375.009154286173
Portugal,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),4801.29105573846
Portugal,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),2059.87987471021
Portugal,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),5622.53420458594
Portugal,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),5752.48175352695
Portugal,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),34037.3574840868
Portugal,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),26950.0654923633
Portugal,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),23635.3448705335
Portugal,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),13696.5175021061
Portugal,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),75242.7668940639
Portugal,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),98337.1102769108
Portugal,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),17938931.4607317
Portugal,...,2021,...,Aranceles,N.o de acuerdos arancelarios,
Portugal,...,2021,...,Importación,Número de asociados importadores,206
Portugal,...,2021,...,Importación,Número de productos importados,4475
Portugal,...,2021,...,Exportación,Número de asociados exportadores,215
Portugal,...,2021,...,Exportación,Número de productos exportados,4215
Portugal,...,2019,...,Others,Ease of Doing Business Rank,39
Portugal,...,2019,...,Others,Trading Across Borders Rank,1
Portugal,...,2018,...,Others,Population,10281762
Portugal,...,2016,...,Others,LPI Score,3.409367
Portugal,...,2016,...,Others,LPI Rank,36
Portugal,...,,...,Others,Services Trade Restrictions Index - Over All,21.8
Portugal,España,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,26.7476
Portugal,Francia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,13.1148
Portugal,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,11.0212
Portugal,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.5756
Portugal,Reino Unido,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.1972
Portugal,España,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,32.8346
Portugal,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,12.4173
Portugal,Francia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.7054
Portugal,Países Bajos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.3337
Portugal,Italia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.1492
Portugal,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),6.3304
Portugal,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),2.8306
Portugal,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),47.6869
Portugal,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),1.5635
Portugal,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),3.3598
Portugal,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),20.7427
Portugal,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),4.2768
Portugal,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),8.5085
Portugal,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),23.817
Portugal,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),5.7701
Portugal,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),8.9187
Portugal,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),2.7376
Portugal,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),7.4725
Portugal,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),7.6452
