País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Paraguay,Brasil,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3546.840418
Paraguay,Argentina,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2652.333009
Paraguay,Chile,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,998.490796
Paraguay,Federación de Rusia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,735.923186
Paraguay,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,232.621743
Paraguay,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4067.307965
Paraguay,Brasil,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3219.967147
Paraguay,Argentina,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1284.189884
Paraguay,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,961.765812
Paraguay,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,451.109578
Paraguay,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),117.187969
Paraguay,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),51.082222
Paraguay,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),1057.309302
Paraguay,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),15.245254
Paraguay,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),1065.101503
Paraguay,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),4664.763924
Paraguay,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),281.85019
Paraguay,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),3742.839149
Paraguay,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),186.223855
Paraguay,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),264.083965
Paraguay,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),95.737879
Paraguay,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),18.153026
Paraguay,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),1753.673896
Paraguay,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),138.349448
Paraguay,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),5644.996732
Paraguay,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),1.029095
Paraguay,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),22.919355
Paraguay,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),97.4849849999999
Paraguay,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),1608.852055
Paraguay,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),273.960934
Paraguay,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),3436.424516
Paraguay,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),5484.560611
Paraguay,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),4281.71037
Paraguay,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),356.287024
Paraguay,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),10550.422369
Paraguay,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),13559.72627
