País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Territorio Palestino Ocupado,Israel,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1168.68230351
Territorio Palestino Ocupado,Jordania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,69.55357924
Territorio Palestino Ocupado,Emiratos Árabes Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,19.77875098
Territorio Palestino Ocupado,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,15.42878823
Territorio Palestino Ocupado,Arabia Saudita,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11.81001214
Territorio Palestino Ocupado,Israel,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4157.04124868
Territorio Palestino Ocupado,Turquía,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,808.508222060001
Territorio Palestino Ocupado,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,531.6945877
Territorio Palestino Ocupado,Jordania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,256.98733792
Territorio Palestino Ocupado,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,199.08284031
Territorio Palestino Ocupado,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),0.93087363
Territorio Palestino Ocupado,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),268.85993155
Territorio Palestino Ocupado,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),45.3786048
Territorio Palestino Ocupado,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),223.57577959
Territorio Palestino Ocupado,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),65.6038373
Territorio Palestino Ocupado,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),141.10647969
Territorio Palestino Ocupado,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),20.28622042
Territorio Palestino Ocupado,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),253.55895153
Territorio Palestino Ocupado,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),108.75108388
Territorio Palestino Ocupado,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),28.84286893
Territorio Palestino Ocupado,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),808.750198059999
Territorio Palestino Ocupado,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),56.21945111
Territorio Palestino Ocupado,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),47.30763638
Territorio Palestino Ocupado,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),144.63612798
Territorio Palestino Ocupado,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),18.8994531
Territorio Palestino Ocupado,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),2.20845172
Territorio Palestino Ocupado,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),173.36895207
Territorio Palestino Ocupado,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),7.02849526
Territorio Palestino Ocupado,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),70.23961906
Territorio Palestino Ocupado,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),229.72704228
Territorio Palestino Ocupado,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),2235.97504736
Territorio Palestino Ocupado,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),3822.09350916
Territorio Palestino Ocupado,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),958.5712247
Territorio Palestino Ocupado,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),812.443587099999
Territorio Palestino Ocupado,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),1357.64002917
Territorio Palestino Ocupado,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),7829.11245261
Territorio Palestino Ocupado,Mundo,2017,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),588512.041803538
Territorio Palestino Ocupado,...,2017,...,Aranceles,N.o de acuerdos arancelarios,14
Territorio Palestino Ocupado,...,2021,...,Importación,Número de asociados importadores,138
Territorio Palestino Ocupado,...,2021,...,Importación,Número de productos importados,3245
Territorio Palestino Ocupado,...,2021,...,Exportación,Número de asociados exportadores,68
Territorio Palestino Ocupado,...,2021,...,Exportación,Número de productos exportados,1108
Territorio Palestino Ocupado,...,2018,...,Others,Population,4569087
Territorio Palestino Ocupado,Israel,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,86.0819
Territorio Palestino Ocupado,Jordania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.1231
Territorio Palestino Ocupado,Emiratos Árabes Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,1.4568
Territorio Palestino Ocupado,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,1.1364
Territorio Palestino Ocupado,Arabia Saudita,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,0.8699
Territorio Palestino Ocupado,Israel,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,53.0972
Territorio Palestino Ocupado,Turquía,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.3269
Territorio Palestino Ocupado,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.7912
Territorio Palestino Ocupado,Jordania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.2825
Territorio Palestino Ocupado,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,2.5429
Territorio Palestino Ocupado,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),0.5177
Territorio Palestino Ocupado,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),5.1737
Territorio Palestino Ocupado,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),16.9211
Territorio Palestino Ocupado,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),3.3425
Territorio Palestino Ocupado,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),16.468
Territorio Palestino Ocupado,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),4.8322
Territorio Palestino Ocupado,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),0.0686
Territorio Palestino Ocupado,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),19.8035
Territorio Palestino Ocupado,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),8.0103
Territorio Palestino Ocupado,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),2.1245
Territorio Palestino Ocupado,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),59.5703
Territorio Palestino Ocupado,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),4.141
Territorio Palestino Ocupado,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),3.4845
Territorio Palestino Ocupado,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),10.6535
Territorio Palestino Ocupado,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),1.3921
Territorio Palestino Ocupado,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.1627
Territorio Palestino Ocupado,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),12.7699
Territorio Palestino Ocupado,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),10.3935
Territorio Palestino Ocupado,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),1.4942
Territorio Palestino Ocupado,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),18.6764
Territorio Palestino Ocupado,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),48.819
Territorio Palestino Ocupado,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),12.2437
Territorio Palestino Ocupado,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),10.3772
Territorio Palestino Ocupado,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),28.5598
Territorio Palestino Ocupado,Mundo,2017,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),2.21143692427151
Territorio Palestino Ocupado,Mundo,2017,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),0.966597074830993
Territorio Palestino Ocupado,Mundo,2017,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),5.0735981218917
Territorio Palestino Ocupado,Mundo,2017,Materias primas,Aranceles,Promedio ponderado de aranceles (%),1.69325381608273
Territorio Palestino Ocupado,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Territorio Palestino Ocupado,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),0.0751351931008726
Territorio Palestino Ocupado,Mundo,2017,Todos los productos,Aranceles,Promedio simple de aranceles (%),1.85733297745921
Territorio Palestino Ocupado,Mundo,2017,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),2.18439555073273
