País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Polinesia Francesa,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,43.53913964
Polinesia Francesa,Hong Kong (China),2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,27.116526627
Polinesia Francesa,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,23.923563456
Polinesia Francesa,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,19.431085937
Polinesia Francesa,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,8.056078901
Polinesia Francesa,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,469.763872284
Polinesia Francesa,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,284.847648359
Polinesia Francesa,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,190.168588689
Polinesia Francesa,"Corea, Rep. de",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,151.995211483
Polinesia Francesa,Nueva Zelandia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,122.905357994
Polinesia Francesa,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),3.450065456
Polinesia Francesa,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),7.725993839
Polinesia Francesa,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),5.426669977
Polinesia Francesa,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.014930698
Polinesia Francesa,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),24.352049083
Polinesia Francesa,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.453946612
Polinesia Francesa,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),35.561052047
Polinesia Francesa,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.026696307
Polinesia Francesa,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),6.411335699
Polinesia Francesa,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),19.54592393
Polinesia Francesa,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),0.453715854
Polinesia Francesa,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),69.542210577
Polinesia Francesa,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),12.420088103
Polinesia Francesa,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.757215484
Polinesia Francesa,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),17.544970993
Polinesia Francesa,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),0.042394113
Polinesia Francesa,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),49.619011504
Polinesia Francesa,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),27.718723996
Polinesia Francesa,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),0.082541007
Polinesia Francesa,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),1.147623068
Polinesia Francesa,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),261.263034848
Polinesia Francesa,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),1137.050844441
Polinesia Francesa,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),464.58941267
Polinesia Francesa,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),140.011844935
Polinesia Francesa,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),143.139203697
Polinesia Francesa,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),2003.095977252
Polinesia Francesa,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),247894.151992083
Polinesia Francesa,...,2021,...,Aranceles,N.o de acuerdos arancelarios,2
Polinesia Francesa,...,2021,...,Importación,Número de asociados importadores,185
Polinesia Francesa,...,2021,...,Importación,Número de productos importados,3523
Polinesia Francesa,...,2021,...,Exportación,Número de asociados exportadores,67
Polinesia Francesa,...,2021,...,Exportación,Número de productos exportados,802
Polinesia Francesa,...,2018,...,Others,Population,277679
Polinesia Francesa,Francia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,30.4173
Polinesia Francesa,Hong Kong (China),2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,18.9442
Polinesia Francesa,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,16.7135
Polinesia Francesa,Japón,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,13.575
Polinesia Francesa,Países Bajos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.6281
Polinesia Francesa,Francia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,23.4519
Polinesia Francesa,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,14.2204
Polinesia Francesa,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,9.4937
Polinesia Francesa,"Corea, Rep. de",2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.588
Polinesia Francesa,Nueva Zelandia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.1358
