País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Qatar,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,13472.9613252239
Qatar,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11843.7173869831
Qatar,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11196.9390291874
Qatar,"Corea, Rep. de",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11191.926893334
Qatar,Singapur,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5346.40578015446
Qatar,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4550.05778228846
Qatar,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3312.14798817666
Qatar,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1777.12586225212
Qatar,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1617.58781305936
Qatar,Reino Unido,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1581.46466841969
Qatar,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),73602.9782220095
Qatar,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),2239.88050256746
Qatar,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),13.7451357580892
Qatar,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),19.9178391107099
Qatar,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),161.260186638413
Qatar,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),3.38446021651256
Qatar,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),5.32598960070067
Qatar,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),61256.1228397299
Qatar,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),564.84791747967
Qatar,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),109.355024915797
Qatar,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),193.4972714191
Qatar,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),4543.94371575625
Qatar,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),418.608386651584
Qatar,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),3186.0330043321
Qatar,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),1858.89743144454
Qatar,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),6.4348601915182
Qatar,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),574.549471447419
Qatar,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),31.4427139756689
Qatar,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),23.9465134122958
Qatar,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),12971.7952698219
Qatar,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),5965.71029669747
Qatar,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),9612.9521898413
Qatar,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),8894.6476945725
Qatar,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),2169.4761148993
Qatar,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),87203.2911888698
Qatar,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),27985.4032137582
Qatar,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),7499960.70164353
Qatar,...,2021,...,Aranceles,N.o de acuerdos arancelarios,5
Qatar,...,2021,...,Importación,Número de asociados importadores,136
Qatar,...,2021,...,Importación,Número de productos importados,3452
Qatar,...,2021,...,Exportación,Número de asociados exportadores,152
Qatar,...,2021,...,Exportación,Número de productos exportados,76
Qatar,...,2018,...,Others,Population,2781677
Qatar,...,2016,...,Others,LPI Score,3.599232
Qatar,...,2019,...,Others,Ease of Doing Business Rank,77
Qatar,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0469342
Qatar,...,2016,...,Others,LPI Rank,30
Qatar,...,2019,...,Others,Trading Across Borders Rank,101
Qatar,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0388586
Qatar,...,,...,Others,Services Trade Restrictions Index - Over All,60.1
Qatar,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,15.4501
Qatar,Japón,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,13.5817
Qatar,India,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,12.84
