País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Reunión,Francia,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,148.918624
Reunión,Japón,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,12.731058
Reunión,Bélgica-Luxemburgo,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,10.380171
Reunión,Comoras,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,9.851343
Reunión,Madagascar,1995,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6.639726
Reunión,Francia,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1797.966848
Reunión,Italia,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,95.594288
Reunión,Bahrein,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,83.79172
Reunión,Alemania,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,75.969256
Reunión,Sudáfrica,1995,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,70.338344
Reunión,Mundo,1995,Productos químicos,Exportación,Exportaciones (en millones de US $),3.467657
Reunión,Mundo,1995,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),14.23889
Reunión,Mundo,1995,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.855357
Reunión,Mundo,1995,Transporte,Exportación,Exportaciones (en millones de US $),12.268483
Reunión,Mundo,1995,Productos alimenticios,Exportación,Exportaciones (en millones de US $),140.62014
Reunión,Mundo,1995,Calzado,Exportación,Exportaciones (en millones de US $),0.021945
Reunión,Mundo,1995,Bienes de consumo,Exportación,Exportaciones (en millones de US $),26.494911
Reunión,Mundo,1995,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.012351
Reunión,Mundo,1995,Varios,Exportación,Exportaciones (en millones de US $),4.098888
Reunión,Mundo,1995,Minerales,Exportación,Exportaciones (en millones de US $),0.494129
Reunión,Mundo,1995,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.310761
Reunión,Mundo,1995,Bienes de capital,Exportación,Exportaciones (en millones de US $),23.455405
Reunión,Mundo,1995,Reino animal,Exportación,Exportaciones (en millones de US $),16.952671
Reunión,Mundo,1995,Madera,Exportación,Exportaciones (en millones de US $),1.707185
Reunión,Mundo,1995,Materias primas,Exportación,Exportaciones (en millones de US $),20.811686
Reunión,Mundo,1995,Reino vegetal,Exportación,Exportaciones (en millones de US $),5.907096
Reunión,Mundo,1995,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),2.231277
Reunión,Mundo,1995,Bienes intermedios,Exportación,Exportaciones (en millones de US $),137.843212
Reunión,Mundo,1995,Combustibles,Exportación,Exportaciones (en millones de US $),0.436348
Reunión,Mundo,1995,Metales,Exportación,Exportaciones (en millones de US $),5.066757
Reunión,Mundo,1995,Bienes de consumo,Importación,Importaciones (en millones de US $),1418.127466
Reunión,Mundo,1995,Bienes intermedios,Importación,Importaciones (en millones de US $),363.565047999999
Reunión,Mundo,1995,Bienes de capital,Importación,Importaciones (en millones de US $),563.765919
Reunión,Mundo,1995,Materias primas,Importación,Importaciones (en millones de US $),213.677826
