País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Rumania,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,18153.08723242
Rumania,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,9233.12722505
Rumania,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5647.35956929001
Rumania,Hungría,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5011.87339971
Rumania,Polonia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3522.31612351
Rumania,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,23473.8258584399
Rumania,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,10345.40379237
Rumania,Hungría,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,7991.1842415
Rumania,Polonia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,7270.50905581
Rumania,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,6378.60364041
Rumania,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),3133.10762325
Rumania,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),25462.07797184
Rumania,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),385.92301421
Rumania,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),6660.22214958
Rumania,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),6823.37453355
Rumania,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),3840.02538731
Rumania,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),16013.02332749
Rumania,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),3286.00021055
Rumania,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),1191.10972357
Rumania,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),32853.48602006
Rumania,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),1206.76787515
Rumania,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),3369.47535477
Rumania,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),8814.27588654001
Rumania,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),5464.79884488
Rumania,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),14345.93866676
Rumania,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),3114.19526563
Rumania,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),9349.58861713
Rumania,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),164.5577412
Rumania,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),592.56599153
Rumania,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),30190.78900824
Rumania,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),29511.84421461
Rumania,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),39876.4668894699
Rumania,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),10560.84094341
Rumania,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),35725.58853318
Rumania,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),88389.72897091
Rumania,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),116401.94458841
Rumania,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),21489707.64758
Rumania,...,2021,...,Aranceles,N.o de acuerdos arancelarios,
Rumania,...,2021,...,Importación,Número de asociados importadores,176
Rumania,...,2021,...,Importación,Número de productos importados,4452
Rumania,...,2021,...,Exportación,Número de asociados exportadores,201
Rumania,...,2021,...,Exportación,Número de productos exportados,4102
Rumania,...,2019,...,Others,Ease of Doing Business Rank,55
Rumania,...,2019,...,Others,Trading Across Borders Rank,1
Rumania,...,2016,...,Others,LPI Score,2.99312
Rumania,...,2016,...,Others,LPI Rank,60
Rumania,...,,...,Others,Services Trade Restrictions Index - Over All,14.5
Rumania,...,2018,...,Others,Population,19473936
Rumania,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,20.5376
Rumania,Italia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.4459
Rumania,Francia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.3892
Rumania,Hungría,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.6702
Rumania,Polonia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.985
Rumania,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,20.1662
