País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Federación de Rusia,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,68679.24807744
Federación de Rusia,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,42145.02515809
Federación de Rusia,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,29645.64903556
Federación de Rusia,Turquía,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,26426.29517205
Federación de Rusia,Belarús,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,23130.3827203539
Federación de Rusia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,72693.02487522
Federación de Rusia,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,27350.55198901
Federación de Rusia,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,17265.49391425
Federación de Rusia,Belarús,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,15635.5334710057
Federación de Rusia,"Corea, Rep. de",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,12986.9223385
Federación de Rusia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),25708.1527810398
Federación de Rusia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),16909.9790258418
Federación de Rusia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),9741.8956542827
Federación de Rusia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),6247.5110254758
Federación de Rusia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),212417.989931592
Federación de Rusia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),51030.3077976792
Federación de Rusia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),8661.6926876018
Federación de Rusia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),286.561355448
Federación de Rusia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),104601.351400819
Federación de Rusia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),17450.4786334549
Federación de Rusia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1438.9852026508
Federación de Rusia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),129660.532864025
Federación de Rusia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),8542.8490268186
Federación de Rusia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),33558.1744367222
Federación de Rusia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),21436.7606753778
Federación de Rusia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),207.5475935121
Federación de Rusia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),76377.3858403735
Federación de Rusia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),6623.806522232
Federación de Rusia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),17110.4731819275
Federación de Rusia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),163270.982535747
Federación de Rusia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),49235.3480350226
Federación de Rusia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),94496.8736949935
Federación de Rusia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),115184.16206268
Federación de Rusia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),20648.1349413979
Federación de Rusia,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),492313.790696653
Federación de Rusia,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),293497.128020043
Federación de Rusia,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),94118993.0989754
Federación de Rusia,...,2021,...,Aranceles,N.o de acuerdos arancelarios,12
Federación de Rusia,...,2021,...,Importación,Número de asociados importadores,219
Federación de Rusia,...,2021,...,Importación,Número de productos importados,4384
Federación de Rusia,...,2021,...,Exportación,Número de asociados exportadores,199
Federación de Rusia,...,2021,...,Exportación,Número de productos exportados,4359
Federación de Rusia,...,2018,...,Others,Population,144478050
Federación de Rusia,...,2016,...,Others,LPI Score,2.570864
Federación de Rusia,...,2019,...,Others,Ease of Doing Business Rank,28
Federación de Rusia,...,2013,...,Others,No Of NTM Affected Products (HS 6 Digit),55
Federación de Rusia,...,2013,...,Others,No Of NTM Measures,3
Federación de Rusia,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1555605
Federación de Rusia,...,2016,...,Others,LPI Rank,99
Federación de Rusia,...,2019,...,Others,Trading Across Borders Rank,99
Federación de Rusia,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1515411
Federación de Rusia,...,,...,Others,Services Trade Restrictions Index - Over All,25.7
Federación de Rusia,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,13.9503
Federación de Rusia,Países Bajos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.5606
Federación de Rusia,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.0217
Federación de Rusia,Turquía,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.3678
Federación de Rusia,Belarús,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.6983
Federación de Rusia,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,24.7679
Federación de Rusia,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,9.3188
Federación de Rusia,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.8827
Federación de Rusia,Belarús,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.3273
Federación de Rusia,"Corea, Rep. de",2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.4249
Federación de Rusia,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),3.5446
Federación de Rusia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.2923
Federación de Rusia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),26.337
Federación de Rusia,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),5.2219
Federación de Rusia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),3.4348
Federación de Rusia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),1.9788
Federación de Rusia,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),1.269
Federación de Rusia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),1.7594
Federación de Rusia,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.0582
Federación de Rusia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),21.2469
Federación de Rusia,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),1.7352
Federación de Rusia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),6.8164
