País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Rwanda,"Congo, Rep. Dem. del",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,587.37077473
Rwanda,Emiratos Árabes Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,437.04251594
Rwanda,Tanzanía,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,96.5359596500001
Rwanda,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,44.7414483
Rwanda,Pakistán,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,37.16853091
Rwanda,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,715.75707774
Rwanda,Tanzanía,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,496.10511907
Rwanda,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,305.79083642
Rwanda,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,295.97069067
Rwanda,Kenya,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,281.05556567
Rwanda,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),24.57841633
Rwanda,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),31.42677013
Rwanda,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),4.34414592
Rwanda,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),98.91380656
Rwanda,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),24.37437923
Rwanda,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),13.03742969
Rwanda,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),139.31360006
Rwanda,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),11.6823235
Rwanda,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),576.989772250001
Rwanda,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),49.57646711
Rwanda,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),13.12429343
Rwanda,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),293.48811839
Rwanda,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),411.27089303
Rwanda,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),40.74575022
Rwanda,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),574.01522647
Rwanda,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),109.68745627
Rwanda,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),50.41146557
Rwanda,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),169.9215431
Rwanda,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),370.09574255
Rwanda,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),118.01136559
Rwanda,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),1181.08014501
Rwanda,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),1596.68981998
Rwanda,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),219.21664202
Rwanda,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),739.71569275
Rwanda,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),1562.5044827
Rwanda,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),3736.70229976
Rwanda,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),1373082.98828922
Rwanda,...,2021,...,Aranceles,N.o de acuerdos arancelarios,5
Rwanda,...,2021,...,Importación,Número de asociados importadores,174
Rwanda,...,2021,...,Importación,Número de productos importados,3544
Rwanda,...,2021,...,Exportación,Número de asociados exportadores,109
Rwanda,...,2021,...,Exportación,Número de productos exportados,2242
Rwanda,...,2018,...,Others,CPIA Trade Ratings,4.5
Rwanda,...,2016,...,Others,LPI Score,2.986229
Rwanda,...,2016,...,Others,LPI Rank,62
Rwanda,...,,...,Others,Services Trade Restrictions Index - Over All,25
Rwanda,...,2019,...,Others,Ease of Doing Business Rank,38
Rwanda,...,2011,...,Others,No Of NTM Affected Products (HS 6 Digit),2239
Rwanda,...,2011,...,Others,No Of NTM Measures,36
Rwanda,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1724588
Rwanda,...,2019,...,Others,Trading Across Borders Rank,88
Rwanda,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.108418
Rwanda,...,2018,...,Others,Population,12301939
Rwanda,"Congo, Rep. Dem. del",2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,37.5916
Rwanda,Emiratos Árabes Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,27.9706
Rwanda,Tanzanía,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.1783
Rwanda,Reino Unido,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.8634
Rwanda,Pakistán,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.3788
Rwanda,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,19.1548
Rwanda,Tanzanía,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,13.2765
Rwanda,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.1834
Rwanda,India,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.9206
Rwanda,Kenya,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.5215
Rwanda,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),1.56
Rwanda,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),0.8344
Rwanda,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),26.3213
