País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,81023.3768663097
,Emiratos Árabes Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,26931.0293194175
,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,26385.2229249602
,Bangladesh,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,15155.1252654779
,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,13515.6420707778
,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,115984.54734324
,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,52580.0780572782
,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,46144.8533719477
,Arabia Saudita,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,31916.4315164078
,Suiza,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,29964.4722281309
,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),56855.4314852434
,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),46037.9624087364
,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),3745.2550818212
,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),9585.60795475321
,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),57492.9088343199
,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),43790.6812505383
,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),7310.39636128516
,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),44294.4529595209
,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),63330.8129345748
,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),12831.5598895007
,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),3246.3049846415
,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),196800.175585329
,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),14728.6499784325
,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),25325.9226758626
,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),12006.0218323603
,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),4421.89245683623
,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),33932.4951090113
,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),31713.6398630872
,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),65370.4340606819
,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),144523.983675477
,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),196665.598817663
,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),238903.223614811
,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),103791.066600528
,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),142199.236811984
,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),438757.122077621
,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),683199.128660533
,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),145134771.432022
,...,2021,...,Aranceles,N.o de acuerdos arancelarios,258
,...,2021,...,Importación,Número de asociados importadores,228
,...,2021,...,Importación,Número de productos importados,4511
,...,2021,...,Exportación,Número de asociados exportadores,222
,...,2021,...,Exportación,Número de productos exportados,4477
,...,2018,...,Others,Population,1814388744
,...,2018,...,Others,CPIA Trade Ratings,3.5833333333
