País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Arabia Saudita,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,171443.234014196
Arabia Saudita,Emiratos Árabes Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,14750.0826136479
Arabia Saudita,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,10957.8101633881
Arabia Saudita,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,9133.47993406299
Arabia Saudita,"Egipto, Rep. Árabe de",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7782.6637998334
Arabia Saudita,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,30234.7962995967
Arabia Saudita,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,16216.5543868528
Arabia Saudita,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,12471.4629439468
Arabia Saudita,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,8073.80497308821
Arabia Saudita,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,7491.40463378155
Arabia Saudita,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),22399.4333365475
Arabia Saudita,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),3970.87649726142
Arabia Saudita,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),24286.1345944466
Arabia Saudita,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),6257.96484035088
Arabia Saudita,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),1867.86291810343
Arabia Saudita,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),21.7457503896895
Arabia Saudita,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),69265.1234086492
Arabia Saudita,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),1193.18132297047
Arabia Saudita,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),2721.29604210093
Arabia Saudita,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),8698.52155773695
Arabia Saudita,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),56.9416828431246
Arabia Saudita,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),969.746225089678
Arabia Saudita,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),916.812234679694
Arabia Saudita,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),696.9439457764
Arabia Saudita,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),53320.278847793
Arabia Saudita,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),1404.96971794243
Arabia Saudita,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),1138.05151501538
Arabia Saudita,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),154406.067567848
Arabia Saudita,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),212585.264010179
Arabia Saudita,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),5980.03397689914
Arabia Saudita,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),34104.7435308481
Arabia Saudita,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),61808.5909758518
Arabia Saudita,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),11037.519778462
Arabia Saudita,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),37077.5127138621
Arabia Saudita,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),286467.258610596
Arabia Saudita,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),152695.088723689
Arabia Saudita,Mundo,2020,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),44678779.0192131
Arabia Saudita,...,2020,...,Aranceles,N.o de acuerdos arancelarios,5
Arabia Saudita,...,2021,...,Importación,Número de asociados importadores,216
Arabia Saudita,...,2021,...,Importación,Número de productos importados,4306
Arabia Saudita,...,2021,...,Exportación,Número de asociados exportadores,177
Arabia Saudita,...,2021,...,Exportación,Número de productos exportados,3392
Arabia Saudita,...,2016,...,Others,LPI Score,3.156376
Arabia Saudita,...,2016,...,Others,LPI Rank,52
Arabia Saudita,...,2018,...,Others,Population,33699947
Arabia Saudita,...,2019,...,Others,Ease of Doing Business Rank,62
Arabia Saudita,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0155503
Arabia Saudita,...,2019,...,Others,Trading Across Borders Rank,86
Arabia Saudita,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0143849
Arabia Saudita,...,,...,Others,Services Trade Restrictions Index - Over All,42.5
Arabia Saudita,No especificados ,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,59.8474
Arabia Saudita,Emiratos Árabes Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.149
