País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Ex Sudán,China,2011,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6323.168259
Ex Sudán,Emiratos Árabes Unidos,2011,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,943.524957
Ex Sudán,Japón,2011,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,315.29848
Ex Sudán,Etiopía (excluida Eritrea),2011,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,282.2775
Ex Sudán,Arabia Saudita,2011,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,259.947634
Ex Sudán,China,2011,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2067.332176
Ex Sudán,Emiratos Árabes Unidos,2011,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,821.806147
Ex Sudán,Arabia Saudita,2011,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,772.334955
Ex Sudán,India,2011,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,622.740496
Ex Sudán,Japón,2011,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,591.872488
Ex Sudán,Mundo,2011,Combustibles,Exportación,Exportaciones (en millones de US $),7406.58804
Ex Sudán,Mundo,2011,Metales,Exportación,Exportaciones (en millones de US $),23.819856
Ex Sudán,Mundo,2011,Reino vegetal,Exportación,Exportaciones (en millones de US $),328.224926
Ex Sudán,Mundo,2011,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),26.024726
Ex Sudán,Mundo,2011,Bienes intermedios,Exportación,Exportaciones (en millones de US $),880.700812
Ex Sudán,Mundo,2011,Productos alimenticios,Exportación,Exportaciones (en millones de US $),8.156421
Ex Sudán,Mundo,2011,Calzado,Exportación,Exportaciones (en millones de US $),0.146571
Ex Sudán,Mundo,2011,Bienes de consumo,Exportación,Exportaciones (en millones de US $),208.687502
Ex Sudán,Mundo,2011,Minerales,Exportación,Exportaciones (en millones de US $),12.256952
Ex Sudán,Mundo,2011,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),828.246424
Ex Sudán,Mundo,2011,Bienes de capital,Exportación,Exportaciones (en millones de US $),3.90546
Ex Sudán,Mundo,2011,Productos químicos,Exportación,Exportaciones (en millones de US $),9.999111
Ex Sudán,Mundo,2011,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),2.945578
Ex Sudán,Mundo,2011,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.926876
Ex Sudán,Mundo,2011,Transporte,Exportación,Exportaciones (en millones de US $),1.636862
Ex Sudán,Mundo,2011,Cueros y pieles,Exportación,Exportaciones (en millones de US $),31.479395
Ex Sudán,Mundo,2011,Varios,Exportación,Exportaciones (en millones de US $),0.711672
Ex Sudán,Mundo,2011,Reino animal,Exportación,Exportaciones (en millones de US $),299.87361
Ex Sudán,Mundo,2011,Madera,Exportación,Exportaciones (en millones de US $),0.685915
Ex Sudán,Mundo,2011,Materias primas,Exportación,Exportaciones (en millones de US $),7888.144744
Ex Sudán,Mundo,2011,Bienes de consumo,Importación,Importaciones (en millones de US $),3149.497444
Ex Sudán,Mundo,2011,Bienes de capital,Importación,Importaciones (en millones de US $),2737.597562
Ex Sudán,Mundo,2011,Bienes intermedios,Importación,Importaciones (en millones de US $),2500.653155
Ex Sudán,Mundo,2011,Materias primas,Importación,Importaciones (en millones de US $),1131.27094
Ex Sudán,Mundo,2011,Todos los productos,Exportación,Exportaciones (en millones de US $),8981.722935
Ex Sudán,Mundo,2011,Todos los productos,Importación,Importaciones (en millones de US $),9546.265054
Ex Sudán,Mundo,2011,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),1329431.463
Ex Sudán,...,2011,...,Aranceles,N.o de acuerdos arancelarios,5
Ex Sudán,...,2011,...,Importación,Número de asociados importadores,197
Ex Sudán,...,2011,...,Importación,Número de productos importados,3412
Ex Sudán,...,2011,...,Exportación,Número de asociados exportadores,89
Ex Sudán,...,2011,...,Exportación,Número de productos exportados,295
Ex Sudán,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.4699295
Ex Sudán,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.4413868
Ex Sudán,...,2018,...,Others,Population,41801533
Ex Sudán,...,2018,...,Others,CPIA Trade Ratings,2.5
Ex Sudán,...,2016,...,Others,LPI Score,2.530408
Ex Sudán,...,2016,...,Others,LPI Rank,103
Ex Sudán,China,2011,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,70.4004
Ex Sudán,Emiratos Árabes Unidos,2011,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.5049
Ex Sudán,Japón,2011,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.5104
Ex Sudán,Etiopía (excluida Eritrea),2011,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.1428
Ex Sudán,Arabia Saudita,2011,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.8942
Ex Sudán,China,2011,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,21.6559
Ex Sudán,Emiratos Árabes Unidos,2011,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.6087
Ex Sudán,Arabia Saudita,2011,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.0904
Ex Sudán,India,2011,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.5234
Ex Sudán,Japón,2011,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.2
Ex Sudán,Mundo,2011,Productos alimenticios,Exportación,Exportaciones - Product share(en %),0.0908
Ex Sudán,Mundo,2011,Calzado,Exportación,Exportaciones - Product share(en %),0.0016
Ex Sudán,Mundo,2011,Bienes de consumo,Exportación,Exportaciones - Product share(en %),2.3235
Ex Sudán,Mundo,2011,Reino vegetal,Exportación,Exportaciones - Product share(en %),3.6544
Ex Sudán,Mundo,2011,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.2898
Ex Sudán,Mundo,2011,Bienes intermedios,Exportación,Exportaciones - Product share(en %),9.8055
Ex Sudán,Mundo,2011,Productos químicos,Exportación,Exportaciones - Product share(en %),0.1113
Ex Sudán,Mundo,2011,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),0.0328
Ex Sudán,Mundo,2011,Minerales,Exportación,Exportaciones - Product share(en %),0.1365
Ex Sudán,Mundo,2011,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),9.2215
Ex Sudán,Mundo,2011,Bienes de capital,Exportación,Exportaciones - Product share(en %),0.0435
Ex Sudán,Mundo,2011,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.3505
Ex Sudán,Mundo,2011,Varios,Exportación,Exportaciones - Product share(en %),0.0079
Ex Sudán,Mundo,2011,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.0103
Ex Sudán,Mundo,2011,Transporte,Exportación,Exportaciones - Product share(en %),0.0182
Ex Sudán,Mundo,2011,Combustibles,Exportación,Exportaciones - Product share(en %),82.4629
Ex Sudán,Mundo,2011,Metales,Exportación,Exportaciones - Product share(en %),0.2652
Ex Sudán,Mundo,2011,Reino animal,Exportación,Exportaciones - Product share(en %),3.3387
Ex Sudán,Mundo,2011,Madera,Exportación,Exportaciones - Product share(en %),0.0076
Ex Sudán,Mundo,2011,Materias primas,Exportación,Exportaciones - Product share(en %),87.8244
Ex Sudán,Mundo,2011,Bienes de consumo,Importación,Importaciones - Product share(en %),32.9919
Ex Sudán,Mundo,2011,Bienes intermedios,Importación,Importaciones - Product share(en %),26.1951
Ex Sudán,Mundo,2011,Materias primas,Importación,Importaciones - Product share(en %),11.8504
Ex Sudán,Mundo,2011,Bienes de capital,Importación,Importaciones - Product share(en %),28.6772
Ex Sudán,Mundo,2011,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),9.70531919535951
Ex Sudán,Mundo,2011,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),13.619384480748
Ex Sudán,Mundo,2011,Materias primas,Aranceles,Promedio ponderado de aranceles (%),6.41351270694099
Ex Sudán,Mundo,2011,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),14.5610459179992
Ex Sudán,Mundo,2011,Todos los productos,Trade Indicator,Crecimiento mundial (%),9.25458005383553
Ex Sudán,Mundo,2011,Todos los productos,Trade Indicator,Crecimiento del país (%),20.0619874000799
Ex Sudán,Mundo,2011,Todos los productos,Aranceles,Promedio simple de aranceles (%),12.5616644463054
Ex Sudán,Mundo,2011,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),11.9494375241039
Ex Sudán,Mundo,2011,Todos los productos,Aranceles,Tasa máxima de aranceles (%),40
Ex Sudán,Mundo,2011,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),19.9865212080367
Ex Sudán,...,2011,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.56481891321894
Ex Sudán,...,2011,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.405556154838749
