País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Senegal,Malí,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1050.52406677723
Senegal,Suiza,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,747.997645977118
Senegal,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,509.253823988492
Senegal,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,342.212224093157
Senegal,Côte d'Ivoire,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,217.426445087104
Senegal,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1141.16067898845
Senegal,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,938.413579520986
Senegal,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,691.986812118245
Senegal,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,554.785709782314
Senegal,Nigeria,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,518.567720349781
Senegal,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),687.274187593037
Senegal,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),93.9754381122075
Senegal,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),46.1483606757215
Senegal,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),60.4065452499573
Senegal,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),500.852027208982
Senegal,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),994.315772404329
Senegal,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),133.967911377015
Senegal,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),494.71274138019
Senegal,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),55.2771607575399
Senegal,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),1337.10927549064
Senegal,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),650.264045948678
Senegal,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),67.8229067106231
Senegal,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),2129.92616601812
Senegal,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),3.72694899331964
Senegal,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),29.3307435951143
Senegal,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),807.710434413774
Senegal,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),198.20235706442
Senegal,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),432.931555379019
Senegal,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),79.2703641474256
Senegal,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),1575.51456833962
Senegal,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),1909.35110909739
Senegal,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),1875.58744061393
Senegal,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),1450.67353337987
Senegal,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),4409.34219968377
Senegal,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),5202.22158963434
Senegal,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),9699.02212907065
Senegal,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),1310631.25274022
Senegal,...,2021,...,Aranceles,N.o de acuerdos arancelarios,2
Senegal,...,2021,...,Importación,Número de asociados importadores,158
Senegal,...,2021,...,Importación,Número de productos importados,3634
Senegal,...,2021,...,Exportación,Número de asociados exportadores,124
Senegal,...,2021,...,Exportación,Número de productos exportados,1771
Senegal,...,2018,...,Others,CPIA Trade Ratings,4.5
Senegal,...,2018,...,Others,Population,15854360
Senegal,...,2016,...,Others,LPI Score,2.327711
Senegal,...,2016,...,Others,LPI Rank,132
Senegal,...,,...,Others,Services Trade Restrictions Index - Over All,19
Senegal,...,2019,...,Others,Ease of Doing Business Rank,123
Senegal,...,2012,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
Senegal,...,2012,...,Others,No Of NTM Measures,42
Senegal,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.426735
Senegal,...,2019,...,Others,Trading Across Borders Rank,142
Senegal,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.4232293
Senegal,Malí,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,20.1938
Senegal,Suiza,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,14.3784
Senegal,India,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.7892
Senegal,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.5782
Senegal,Côte d'Ivoire,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.1795
