País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
"Serbia, Rep. Fed. de (Serbia y Montenegro)",Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3242.866163
"Serbia, Rep. Fed. de (Serbia y Montenegro)",Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2177.224949
"Serbia, Rep. Fed. de (Serbia y Montenegro)",Bosnia y Herzegovina,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1846.745433
"Serbia, Rep. Fed. de (Serbia y Montenegro)",Rumania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1410.718834
"Serbia, Rep. Fed. de (Serbia y Montenegro)",Hungría,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1289.162595
"Serbia, Rep. Fed. de (Serbia y Montenegro)",Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4457.725581
"Serbia, Rep. Fed. de (Serbia y Montenegro)",China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4158.723921
"Serbia, Rep. Fed. de (Serbia y Montenegro)",Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2726.148452
"Serbia, Rep. Fed. de (Serbia y Montenegro)",Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1806.056791
"Serbia, Rep. Fed. de (Serbia y Montenegro)",Turquía,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1701.793987
"Serbia, Rep. Fed. de (Serbia y Montenegro)",Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),744.726993
"Serbia, Rep. Fed. de (Serbia y Montenegro)",Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),3353.097748
"Serbia, Rep. Fed. de (Serbia y Montenegro)",Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),973.622484
