País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Singapur,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,67746.76440913
Singapur,Hong Kong (China),2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,60147.38058049
Singapur,Malasia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,42130.40627228
Singapur,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,39316.82200382
Singapur,Indonesia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,28801.0663608
Singapur,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,54610.67645484
Singapur,Malasia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,53729.37287943
Singapur,"Otra zona de Asia, no esp.",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,51118.63305102
Singapur,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,40573.13833712
Singapur,"Corea, Rep. de",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,22194.92510136
Singapur,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),1547.15196626
Singapur,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),59729.52531627
Singapur,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),45685.9252998
Singapur,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),226843.78256602
Singapur,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),118.91219236
Singapur,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),21837.38180666
Singapur,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),248722.40636456
Singapur,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),973.61378447
Singapur,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),2275.50985761
Singapur,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),79263.93417084
Singapur,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),671.33594743
Singapur,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),2419.33870345
Singapur,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),3909.64802236
Singapur,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),17815.72212154
Singapur,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),8002.05760862
Singapur,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),12906.43128757
Singapur,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),593.00652863
Singapur,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),100956.37454258
Singapur,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),45936.65441823
Singapur,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),10117.63666433
Singapur,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),61692.39688137
Singapur,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),207326.72636664
Singapur,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),29644.14360268
Singapur,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),102818.45991468
Singapur,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),457473.98606925
Singapur,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),406622.36668423
Singapur,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),291420966.57412
Singapur,...,2021,...,Aranceles,N.o de acuerdos arancelarios,27
Singapur,...,2021,...,Importación,Número de asociados importadores,225
Singapur,...,2021,...,Importación,Número de productos importados,4299
Singapur,...,2021,...,Exportación,Número de asociados exportadores,215
Singapur,...,2021,...,Exportación,Número de productos exportados,4213
Singapur,...,2018,...,Others,Population,5638676
Singapur,...,2016,...,Others,LPI Score,4.143632
Singapur,...,2016,...,Others,LPI Rank,5
Singapur,...,2019,...,Others,Ease of Doing Business Rank,2
Singapur,...,2015,...,Others,No Of NTM Affected Products (HS 6 Digit),5205
