País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Islas Salomón,China,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,380.352736554258
Islas Salomón,Italia,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,41.1021661074297
Islas Salomón,India,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,28.9369510151297
Islas Salomón,Suiza,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,13.8676906653186
Islas Salomón,Tailandia,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11.9629679918564
Islas Salomón,Australia,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,109.580259638951
Islas Salomón,Singapur,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,97.8166007777006
Islas Salomón,China,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,89.4132811605153
Islas Salomón,Malasia,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,77.7876484724148
Islas Salomón,"Otra zona de Asia, no esp.",2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,43.10025271314
Islas Salomón,Mundo,2018,Reino vegetal,Exportación,Exportaciones (en millones de US $),39.6763260792817
Islas Salomón,Mundo,2018,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.0132248549552202
Islas Salomón,Mundo,2018,Bienes intermedios,Exportación,Exportaciones (en millones de US $),55.3240346055027
Islas Salomón,Mundo,2018,Minerales,Exportación,Exportaciones (en millones de US $),21.2899381310922
Islas Salomón,Mundo,2018,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),3.20038403156952
Islas Salomón,Mundo,2018,Bienes de capital,Exportación,Exportaciones (en millones de US $),1.73179126202326
Islas Salomón,Mundo,2018,Productos químicos,Exportación,Exportaciones (en millones de US $),0.0723497577882194
Islas Salomón,Mundo,2018,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),1.18978371178311
Islas Salomón,Mundo,2018,Productos alimenticios,Exportación,Exportaciones (en millones de US $),52.7033544892197
Islas Salomón,Mundo,2018,Calzado,Exportación,Exportaciones (en millones de US $),
Islas Salomón,Mundo,2018,Bienes de consumo,Exportación,Exportaciones (en millones de US $),44.967929140557
Islas Salomón,Mundo,2018,Combustibles,Exportación,Exportaciones (en millones de US $),
Islas Salomón,Mundo,2018,Metales,Exportación,Exportaciones (en millones de US $),0.512963401365501
Islas Salomón,Mundo,2018,Cueros y pieles,Exportación,Exportaciones (en millones de US $),7.5354204E-05
Islas Salomón,Mundo,2018,Varios,Exportación,Exportaciones (en millones de US $),0.494219439985975
Islas Salomón,Mundo,2018,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.0513807864532144
