País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Sierra Leona,China,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,37.47972914
Sierra Leona,"Corea, Rep. de",2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,28.67551982
Sierra Leona,Países Bajos,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,27.82523226
Sierra Leona,Somalia,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,22.18678862
Sierra Leona,Ghana,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,16.51607223
Sierra Leona,China,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,197.9533156
Sierra Leona,Emiratos Árabes Unidos,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,82.57066268
Sierra Leona,Bélgica,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,74.4698959500001
Sierra Leona,India,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,71.07326202
Sierra Leona,Estados Unidos,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,53.11200487
Sierra Leona,Mundo,2018,Combustibles,Exportación,Exportaciones (en millones de US $),0.29432878
Sierra Leona,Mundo,2018,Metales,Exportación,Exportaciones (en millones de US $),6.93378611
Sierra Leona,Mundo,2018,Minerales,Exportación,Exportaciones (en millones de US $),37.10908084
Sierra Leona,Mundo,2018,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.16393932
Sierra Leona,Mundo,2018,Bienes de capital,Exportación,Exportaciones (en millones de US $),35.28916853
Sierra Leona,Mundo,2018,Productos químicos,Exportación,Exportaciones (en millones de US $),7.11967301
