País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
El Salvador,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2615.75757965
El Salvador,Guatemala,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1073.01526181
El Salvador,Honduras,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1054.59305217
El Salvador,Nicaragua,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,460.28532641
El Salvador,Costa Rica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,263.02254965
El Salvador,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4033.45758228
El Salvador,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2492.98393285
El Salvador,Guatemala,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1462.45095525
El Salvador,México,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1181.69657734
El Salvador,Honduras,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,848.90092831
El Salvador,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),247.85104229
El Salvador,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),2646.39900104
El Salvador,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),1212.05241722
El Salvador,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),10.28330256
El Salvador,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),76.35436481
El Salvador,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),341.70411592
El Salvador,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),248.54637688
El Salvador,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),342.07695605
El Salvador,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),415.01540507
El Salvador,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),403.61984336
El Salvador,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),859.01020459
El Salvador,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),29.53746949
El Salvador,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),4525.40606688
El Salvador,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),498.3728067
El Salvador,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),19.05633468
El Salvador,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),8.70474565
El Salvador,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),107.2538503
El Salvador,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),78.93364918
El Salvador,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),403.87356326
El Salvador,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),260.90478634
