País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,53688.1393749838
,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,19876.9072104218
,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,17961.7854011355
,Sudáfrica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,12482.567994009
,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,12479.2885465763
,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,57420.812187118
,Sudáfrica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,23947.7168970196
,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,22914.4328481292
,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,15544.8663385032
,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,11697.6508178671
,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),89716.9259316913
,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),42444.7925395155
,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),2838.0103865434
,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),17231.2297394359
,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),17560.4140302135
,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),9756.91290402752
,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),11182.2252732402
,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),539.765565842502
,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),45570.3041147605
,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),28333.7691528563
,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),55658.2855813701
,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),19781.9146722255
,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),18765.543584276
,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),5811.64179887566
,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),110842.743324063
,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),487.374806500092
,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),1976.19317147886
,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),4166.43894577417
,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),3613.33876712448
,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),133503.950358418
,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),73656.9769798027
,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),122250.489536591
