País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Santo Tomé y Príncipe,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,8.64139593892135
Santo Tomé y Príncipe,Bélgica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4.0773344569419
Santo Tomé y Príncipe,Portugal,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.5119564444535
Santo Tomé y Príncipe,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1.73575673760995
Santo Tomé y Príncipe,Camerún,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.81227441229165
Santo Tomé y Príncipe,Portugal,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,81.8944550747461
Santo Tomé y Príncipe,Angola,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,19.9021366487433
Santo Tomé y Príncipe,Togo,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,15.580979590616
Santo Tomé y Príncipe,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,11.9336657440141
Santo Tomé y Príncipe,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5.093755451598
Santo Tomé y Príncipe,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),6.5649174490482
Santo Tomé y Príncipe,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.0193210695898
Santo Tomé y Príncipe,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),6.561120429039
Santo Tomé y Príncipe,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),0.00313796915685
Santo Tomé y Príncipe,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.0051774715916
Santo Tomé y Príncipe,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),0.2367803235402
Santo Tomé y Príncipe,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),11.6123340046449
Santo Tomé y Príncipe,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.00065584095225
Santo Tomé y Príncipe,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),0.924316802074599
Santo Tomé y Príncipe,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),0.0040858137485
Santo Tomé y Príncipe,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),0.1270134124842
Santo Tomé y Príncipe,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),0.061186532088
Santo Tomé y Príncipe,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),0.2051601812733
Santo Tomé y Príncipe,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.0105327521948
Santo Tomé y Príncipe,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),0.50091011453395
Santo Tomé y Príncipe,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.00194544263485
Santo Tomé y Príncipe,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),0.04829426014545
Santo Tomé y Príncipe,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),0.0053717191825
Santo Tomé y Príncipe,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),0.00480167010565
Santo Tomé y Príncipe,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),11.4526197835269
Santo Tomé y Príncipe,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),27.0928557495294
Santo Tomé y Príncipe,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),106.328860132266
Santo Tomé y Príncipe,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),23.0790967402993
Santo Tomé y Príncipe,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),7.59110038410685
Santo Tomé y Príncipe,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),19.1748457033749
Santo Tomé y Príncipe,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),166.2750068742
Santo Tomé y Príncipe,Mundo,2019,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),3402.78283625951
Santo Tomé y Príncipe,...,2019,...,Aranceles,N.o de acuerdos arancelarios,1
Santo Tomé y Príncipe,...,2021,...,Importación,Número de asociados importadores,65
