País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Sudán,Emiratos Árabes Unidos,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,993.830962
Sudán,China,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,735.691779
Sudán,Arabia Saudita,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,588.486879
Sudán,"Egipto, Rep. Árabe de",2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,580.354204
Sudán,India,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,97.294031
Sudán,China,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1822.619801
Sudán,Federación de Rusia,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1582.164434
Sudán,Arabia Saudita,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1071.240078
Sudán,India,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,873.660242
Sudán,Emiratos Árabes Unidos,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,787.203082
Sudán,Mundo,2018,Combustibles,Exportación,Exportaciones (en millones de US $),509.491826
Sudán,Mundo,2018,Metales,Exportación,Exportaciones (en millones de US $),22.685766
Sudán,Mundo,2018,Productos alimenticios,Exportación,Exportaciones (en millones de US $),40.693359
Sudán,Mundo,2018,Calzado,Exportación,Exportaciones (en millones de US $),0.0662
Sudán,Mundo,2018,Bienes de consumo,Exportación,Exportaciones (en millones de US $),107.957907
Sudán,Mundo,2018,Productos químicos,Exportación,Exportaciones (en millones de US $),11.704435
Sudán,Mundo,2018,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),7.900595
Sudán,Mundo,2018,Reino vegetal,Exportación,Exportaciones (en millones de US $),1037.602525
Sudán,Mundo,2018,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),158.794764
Sudán,Mundo,2018,Bienes intermedios,Exportación,Exportaciones (en millones de US $),1044.873668
Sudán,Mundo,2018,Minerales,Exportación,Exportaciones (en millones de US $),1.73258
Sudán,Mundo,2018,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),911.466931
Sudán,Mundo,2018,Bienes de capital,Exportación,Exportaciones (en millones de US $),50.5131259999998
Sudán,Mundo,2018,Plástico o caucho,Exportación,Exportaciones (en millones de US $),3.776635
Sudán,Mundo,2018,Transporte,Exportación,Exportaciones (en millones de US $),48.552971
Sudán,Mundo,2018,Cueros y pieles,Exportación,Exportaciones (en millones de US $),16.288711
Sudán,Mundo,2018,Varios,Exportación,Exportaciones (en millones de US $),4.818207
Sudán,Mundo,2018,Reino animal,Exportación,Exportaciones (en millones de US $),839.801028
Sudán,Mundo,2018,Madera,Exportación,Exportaciones (en millones de US $),3.874971
Sudán,Mundo,2018,Materias primas,Exportación,Exportaciones (en millones de US $),2415.893348
Sudán,Mundo,2018,Bienes de consumo,Importación,Importaciones (en millones de US $),4311.55926699999
Sudán,Mundo,2018,Bienes de capital,Importación,Importaciones (en millones de US $),2433.285137
Sudán,Mundo,2018,Materias primas,Importación,Importaciones (en millones de US $),2009.60013
Sudán,Mundo,2018,Bienes intermedios,Importación,Importaciones (en millones de US $),1724.604874
Sudán,Mundo,2018,Todos los productos,Exportación,Exportaciones (en millones de US $),3619.251504
Sudán,Mundo,2018,Todos los productos,Importación,Importaciones (en millones de US $),10483.740855
Sudán,Mundo,2017,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),2761383.594
Sudán,...,2017,...,Aranceles,N.o de acuerdos arancelarios,5
Sudán,...,2018,...,Importación,Número de asociados importadores,184
Sudán,...,2018,...,Importación,Número de productos importados,3344
Sudán,...,2018,...,Exportación,Número de asociados exportadores,134
Sudán,...,2018,...,Exportación,Número de productos exportados,558
Sudán,...,2019,...,Others,Ease of Doing Business Rank,171
Sudán,...,2019,...,Others,Trading Across Borders Rank,185
Sudán,Emiratos Árabes Unidos,2018,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,27.4596
Sudán,China,2018,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,20.3272
Sudán,Arabia Saudita,2018,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,16.2599
Sudán,"Egipto, Rep. Árabe de",2018,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,16.0352
Sudán,India,2018,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.6882
Sudán,China,2018,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,17.3852
Sudán,Federación de Rusia,2018,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,15.0916
Sudán,Arabia Saudita,2018,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.2181
Sudán,India,2018,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.3335
Sudán,Emiratos Árabes Unidos,2018,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.5088
Sudán,Mundo,2018,Productos alimenticios,Exportación,Exportaciones - Product share(en %),1.1244
Sudán,Mundo,2018,Calzado,Exportación,Exportaciones - Product share(en %),0.0018
Sudán,Mundo,2018,Bienes de consumo,Exportación,Exportaciones - Product share(en %),2.9829
Sudán,Mundo,2018,Minerales,Exportación,Exportaciones - Product share(en %),0.0479
Sudán,Mundo,2018,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),25.1839
Sudán,Mundo,2018,Bienes de capital,Exportación,Exportaciones - Product share(en %),1.3957
Sudán,Mundo,2018,Reino vegetal,Exportación,Exportaciones - Product share(en %),28.669
Sudán,Mundo,2018,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),4.3875
Sudán,Mundo,2018,Bienes intermedios,Exportación,Exportaciones - Product share(en %),28.8699
Sudán,Mundo,2018,Productos químicos,Exportación,Exportaciones - Product share(en %),0.3234
Sudán,Mundo,2018,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),0.2183
Sudán,Mundo,2018,Reino animal,Exportación,Exportaciones - Product share(en %),23.2037
Sudán,Mundo,2018,Madera,Exportación,Exportaciones - Product share(en %),0.1071
Sudán,Mundo,2018,Materias primas,Exportación,Exportaciones - Product share(en %),66.7512
Sudán,Mundo,2018,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.1043
Sudán,Mundo,2018,Transporte,Exportación,Exportaciones - Product share(en %),1.3415
Sudán,Mundo,2018,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.4501
Sudán,Mundo,2018,Varios,Exportación,Exportaciones - Product share(en %),0.1331
Sudán,Mundo,2018,Combustibles,Exportación,Exportaciones - Product share(en %),14.0773
Sudán,Mundo,2018,Metales,Exportación,Exportaciones - Product share(en %),0.6268
Sudán,Mundo,2018,Bienes intermedios,Importación,Importaciones - Product share(en %),16.4503
Sudán,Mundo,2018,Bienes de consumo,Importación,Importaciones - Product share(en %),41.1262
Sudán,Mundo,2018,Bienes de capital,Importación,Importaciones - Product share(en %),23.2101
Sudán,Mundo,2018,Materias primas,Importación,Importaciones - Product share(en %),19.1687
Sudán,Mundo,2017,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),16.4025118072012
Sudán,Mundo,2017,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),11.9875783413125
Sudán,Mundo,2017,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),16.5777136592278
Sudán,Mundo,2017,Materias primas,Aranceles,Promedio ponderado de aranceles (%),7.73274121137771
Sudán,Mundo,2018,Todos los productos,Trade Indicator,Crecimiento mundial (%),4.83141798213382
Sudán,Mundo,2018,Todos los productos,Trade Indicator,Crecimiento del país (%),-6.86293955760299
Sudán,Mundo,2017,Todos los productos,Aranceles,Promedio simple de aranceles (%),14.2822743022731
Sudán,Mundo,2017,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),14.0124110491879
Sudán,Mundo,2017,Todos los productos,Aranceles,Tasa máxima de aranceles (%),40
Sudán,Mundo,2017,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),33.8244107071514
Sudán,...,2018,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.62889556473933
Sudán,...,2018,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.14380566249211
