País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Suriname,Suiza,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1131.84607763
Suriname,Emiratos Árabes Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,597.90088175
Suriname,Bélgica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,97.34191997
Suriname,Trinidad y Tobago,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,77.06296452
Suriname,Brasil,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,57.64866251
Suriname,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,340.23722832
Suriname,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,228.44785863
Suriname,Trinidad y Tobago,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,198.84661122
Suriname,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,117.76387581
Suriname,Antigua y Barbuda,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,46.16818663
Suriname,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),8.55357852
Suriname,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),71.44158574
Suriname,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),3.32135458
Suriname,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),21.44623576
Suriname,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),6.57082141
Suriname,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1857.4705658
Suriname,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),93.26701654
Suriname,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),78.47263184
Suriname,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.43727048
Suriname,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),182.99435593
Suriname,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.07651861
Suriname,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),5.89670615
Suriname,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),38.1679525
Suriname,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.67714568
Suriname,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),1874.53860476
Suriname,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),36.82043981
Suriname,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),72.51568421
Suriname,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),138.89148157
Suriname,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),73.93960579
Suriname,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),15.51773016
Suriname,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),502.128493580001
Suriname,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),259.55798821
Suriname,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),560.08894523
Suriname,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),55.00171566
Suriname,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),2291.32582704
Suriname,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),1381.16598758
Suriname,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),323015.258767389
Suriname,...,2021,...,Aranceles,N.o de acuerdos arancelarios,6
Suriname,...,2021,...,Importación,Número de asociados importadores,105
Suriname,...,2021,...,Importación,Número de productos importados,2548
Suriname,...,2021,...,Exportación,Número de asociados exportadores,92
Suriname,...,2021,...,Exportación,Número de productos exportados,725
Suriname,...,2019,...,Others,Ease of Doing Business Rank,162
Suriname,...,2019,...,Others,Trading Across Borders Rank,87
Suriname,...,2018,...,Others,Population,575991
Suriname,Suiza,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,49.397
Suriname,Emiratos Árabes Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,26.0941
Suriname,Bélgica,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.2483
Suriname,Trinidad y Tobago,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.3632
Suriname,Brasil,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.516
Suriname,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,24.6341
Suriname,Países Bajos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,16.5402
Suriname,Trinidad y Tobago,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,14.397
Suriname,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.5264
Suriname,Antigua y Barbuda,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.3427
Suriname,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),1.6658
Suriname,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.0296
Suriname,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),81.8102
Suriname,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.2868
Suriname,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),81.0653
Suriname,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),4.0704
Suriname,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),0.3733
Suriname,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),3.1179
Suriname,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),3.4248
Suriname,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.0191
Suriname,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),7.9864
Suriname,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.145
Suriname,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),0.936
Suriname,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0033
Suriname,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.2573
Suriname,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),1.6069
Suriname,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),3.1648
Suriname,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),6.0616
Suriname,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),3.2269
Suriname,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),0.6772
Suriname,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),18.7927
Suriname,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),40.5519
Suriname,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),36.3554
Suriname,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),3.9823
Suriname,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),5.27072372471055
Suriname,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),11.478897712244
Suriname,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),5.58534218254009
Suriname,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),17.653033874061
Suriname,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Suriname,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),-3.42988196097268
Suriname,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),10.1506228945787
Suriname,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),8.4261629864258
Suriname,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),50
Suriname,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),13.9742262110229
Suriname,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.70880915318238
Suriname,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.327705944749609
