País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
República Eslovaca,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,22734.001897358
República Eslovaca,República Checa,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,12128.232013276
República Eslovaca,Polonia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,8702.180956776
República Eslovaca,Hungría,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7582.896787426
República Eslovaca,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6740.379337349
República Eslovaca,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,20073.857647506
República Eslovaca,República Checa,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,10267.702833308
República Eslovaca,No especificados ,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,9263.62008111
República Eslovaca,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,7656.037877531
República Eslovaca,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,6587.112162532
República Eslovaca,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),3351.559687372
República Eslovaca,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),11743.479175833
República Eslovaca,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),1983.408807648
República Eslovaca,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),1068.61337339
República Eslovaca,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),53215.234851999
República Eslovaca,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),425.07472902
República Eslovaca,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1204.339685038
República Eslovaca,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),30570.862489039
República Eslovaca,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),5861.75789838
República Eslovaca,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),34178.839160292
República Eslovaca,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),710.568754207
República Eslovaca,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),3225.916689855
República Eslovaca,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),3058.558260641
República Eslovaca,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),2754.578006779
República Eslovaca,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),30504.829844423
República Eslovaca,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),268.257142838
República Eslovaca,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),3858.018630463
República Eslovaca,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),1606.448729135
República Eslovaca,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1987.630567251
República Eslovaca,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),17758.356676157
República Eslovaca,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),19046.538263493
República Eslovaca,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),33212.812599772
República Eslovaca,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),45202.5260088129
República Eslovaca,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),7379.626394314
República Eslovaca,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),104733.320881922
República Eslovaca,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),105141.762064531
República Eslovaca,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),30667310.0482138
República Eslovaca,...,2021,...,Aranceles,N.o de acuerdos arancelarios,
