País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Eslovenia,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,8180.8722408445
Eslovenia,Suiza,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6262.8796133877
Eslovenia,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4905.339171448
Eslovenia,Croacia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3648.4725956567
Eslovenia,Austria,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3022.0732884194
Eslovenia,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,6403.3445207647
Eslovenia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,6309.0191165135
Eslovenia,Suiza,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5410.8518542377
Eslovenia,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5190.53476808539
Eslovenia,Austria,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3255.6162276992
Eslovenia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),1097.486777785
Eslovenia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),251.5320509229
Eslovenia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),23299.2633773085
Eslovenia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),522.6848529521
Eslovenia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),998.6403070583
Eslovenia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),10541.7467484787
Eslovenia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),11960.7556878131
Eslovenia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),9724.3019527526
Eslovenia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),1918.0598886855
Eslovenia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),5272.6022361483
Eslovenia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),2902.4299340674
Eslovenia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),5687.5260096259
Eslovenia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),143.0015155255
Eslovenia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),727.2559658072
Eslovenia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),10810.2475186138
Eslovenia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),139.9104306008
Eslovenia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),2722.7556225956
Eslovenia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),485.9019827516
Eslovenia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),2137.2828540185
Eslovenia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),1857.4148159558
Eslovenia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),15924.6543560281
Eslovenia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),19635.8145558139
Eslovenia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),10885.2844283627
Eslovenia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),2462.4860305885
Eslovenia,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),46692.1280691103
Eslovenia,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),49067.4246441253
Eslovenia,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),12382711.6212325
Eslovenia,...,2021,...,Aranceles,N.o de acuerdos arancelarios,
Eslovenia,...,2021,...,Importación,Número de asociados importadores,225
Eslovenia,...,2021,...,Importación,Número de productos importados,4375
Eslovenia,...,2021,...,Exportación,Número de asociados exportadores,199
Eslovenia,...,2021,...,Exportación,Número de productos exportados,4090
Eslovenia,...,2019,...,Others,Ease of Doing Business Rank,37
Eslovenia,...,2019,...,Others,Trading Across Borders Rank,1
Eslovenia,...,2018,...,Others,Population,2067372
Eslovenia,...,2016,...,Others,LPI Score,3.184508
Eslovenia,...,2016,...,Others,LPI Rank,50
Eslovenia,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,17.5209
Eslovenia,Suiza,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,13.4131
Eslovenia,Italia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.5057
Eslovenia,Croacia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.8139
Eslovenia,Austria,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.4723
Eslovenia,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,13.0501
Eslovenia,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,12.8579
Eslovenia,Suiza,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,11.0274
Eslovenia,Italia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.5784
Eslovenia,Austria,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.635
Eslovenia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),2.3505
Eslovenia,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.5387
Eslovenia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),49.8998
Eslovenia,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.3063
Eslovenia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),1.5576
Eslovenia,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),23.1522
