País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Suecia,Noruega,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,20254.230127015
Suecia,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,19422.64878794
Suecia,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,15301.714461945
Suecia,Dinamarca,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,14664.10898949
Suecia,Finlandia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,13411.323101355
Suecia,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,31739.723911893
Suecia,Noruega,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,19043.838591258
Suecia,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,18835.282181953
Suecia,Dinamarca,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,12960.304058625
Suecia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,12908.67279353
Suecia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),418.285315731
Suecia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),16458.504830179
Suecia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),1923.465200371
Suecia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),4035.264965834
Suecia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),49611.01489763
Suecia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),19467.229213159
Suecia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),44324.48050125
Suecia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),4967.261192186
Suecia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),797.941888365
Suecia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),64606.0108291749
Suecia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),5382.031348493
Suecia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),19636.271793288
Suecia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),13199.452895249
Suecia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),8190.626703511
Suecia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),24430.817490493
Suecia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),13189.217797585
Suecia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),18159.731456667
Suecia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),5774.783020964
Suecia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),2479.150481802
Suecia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),55180.732999574
Suecia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),33259.155419705
Suecia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),66756.0206387409
Suecia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),22022.777396573
Suecia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),56686.342776488
Suecia,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),189635.063199877
Suecia,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),187319.607120962
Suecia,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),38908898.5487864
Suecia,...,2021,...,Aranceles,N.o de acuerdos arancelarios,
Suecia,...,2021,...,Importación,Número de asociados importadores,231
Suecia,...,2021,...,Importación,Número de productos importados,4467
Suecia,...,2021,...,Exportación,Número de asociados exportadores,225
Suecia,...,2021,...,Exportación,Número de productos exportados,4357
Suecia,...,2019,...,Others,Ease of Doing Business Rank,10
Suecia,...,2019,...,Others,Trading Across Borders Rank,18
Suecia,...,2016,...,Others,LPI Score,4.204593
Suecia,...,2016,...,Others,LPI Rank,3
Suecia,...,,...,Others,Services Trade Restrictions Index - Over All,15.5
Suecia,...,2018,...,Others,Population,10183175
Suecia,Noruega,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.6806
Suecia,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.2421
Suecia,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.069
Suecia,Dinamarca,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.7328
Suecia,Finlandia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.0722
Suecia,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,16.9442
Suecia,Noruega,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.1665
Suecia,Países Bajos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.0552
Suecia,Dinamarca,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.9188
Suecia,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.8913
Suecia,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),1.0143
Suecia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),2.1279
Suecia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),26.1613
Suecia,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),10.2656
Suecia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),23.3736
Suecia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),4.3192
Suecia,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),12.8831
Suecia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.2206
Suecia,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),8.679
Suecia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),2.6194
Suecia,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.4208
Suecia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),34.0686
Suecia,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),2.8381
Suecia,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),10.3548
Suecia,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),6.9604
Suecia,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),3.0452
Suecia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),1.3073
Suecia,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),29.0984
Suecia,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),6.9551
Suecia,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),9.5761
Suecia,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),35.6375
Suecia,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),17.7553
Suecia,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),11.7568
Suecia,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),30.2618
Suecia,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),3.2175733033008
Suecia,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),1.02920730565157
Suecia,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),0.302894102678243
Suecia,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),0.582507549015065
Suecia,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Suecia,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),11.1054419722407
Suecia,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),2.18538887802738
Suecia,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),1.48317296012887
Suecia,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),275.476013183594
Suecia,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),62.9958380753799
Suecia,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,18.0213245033113
Suecia,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.0439556180163111
