País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Eswatini,Sudáfrica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1405.40287965
Eswatini,Kenya,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,116.35364141
Eswatini,Nigeria,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,79.64924275
Eswatini,Mozambique,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,70.39024264
Eswatini,Zimbabwe,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,50.6676818
Eswatini,Sudáfrica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1536.89557138
Eswatini,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,206.13937468
Eswatini,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,56.92882135
Eswatini,Mozambique,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,34.04353666
Eswatini,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,32.48056583
Eswatini,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),924.35014397
Eswatini,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),27.45023411
Eswatini,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),24.42377989
Eswatini,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),7.07019578
Eswatini,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),8.59910548
Eswatini,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),5.43106833
