País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Seychelles,Gibraltar,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,644.8943899685
Seychelles,Islas Caimán,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,300.140634811484
Seychelles,Bermudas,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,234.6611939997
Seychelles,Belice,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,177.441329592
Seychelles,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,136.049144141814
Seychelles,Sudáfrica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,345.109237139302
Seychelles,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,303.118373483225
Seychelles,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,292.126160199072
Seychelles,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,272.406564519601
Seychelles,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,139.996972216735
Seychelles,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),0.396992225973303
Seychelles,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),4.3975062349675
Seychelles,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),4.99566666251972
Seychelles,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.307273802978342
Seychelles,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),18.0270684179373
Seychelles,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),108.364366814038
Seychelles,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),5.09403603116233
Seychelles,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),290.171447409611
Seychelles,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.0016901322103536
Seychelles,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),1802.384124897
Seychelles,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),1.81857939199871
Seychelles,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),1419.37954107342
Seychelles,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),
Seychelles,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.854900721131637
Seychelles,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),13.8529401715825
Seychelles,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.0307494134236562
Seychelles,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),5.37027411631857
Seychelles,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),110.609449341976
Seychelles,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),0.133258794895567
Seychelles,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),113.852792826137
Seychelles,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),256.307244592667
Seychelles,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),315.681834682681
Seychelles,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),174.268125366475
Seychelles,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),1097.66210293666
Seychelles,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),1951.92573216662
Seychelles,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),1847.87938027414
Seychelles,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),1243651.13279282
Seychelles,...,2021,...,Aranceles,N.o de acuerdos arancelarios,8
Seychelles,...,2021,...,Importación,Número de asociados importadores,168
Seychelles,...,2021,...,Importación,Número de productos importados,3339
Seychelles,...,2021,...,Exportación,Número de asociados exportadores,83
Seychelles,...,2021,...,Exportación,Número de productos exportados,444
Seychelles,...,2019,...,Others,Ease of Doing Business Rank,100
Seychelles,...,2019,...,Others,Trading Across Borders Rank,98
Seychelles,...,2018,...,Others,Population,96762
Seychelles,Gibraltar,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,33.0389
Seychelles,Islas Caimán,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,15.3766
Seychelles,Bermudas,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,12.022
Seychelles,Belice,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.0906
Seychelles,Francia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.97
Seychelles,Sudáfrica,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,18.676
Seychelles,Países Bajos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,16.4036
Seychelles,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,15.8087
Seychelles,Italia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,14.7416
Seychelles,Francia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.5761
Seychelles,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),
Seychelles,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),0.0438
Seychelles,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),0.7097
Seychelles,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),14.8659
Seychelles,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.0001
Seychelles,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),92.3388
Seychelles,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),0.2559
Seychelles,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.0157
Seychelles,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),0.9236
Seychelles,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),5.6667
Seychelles,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.0068
Seychelles,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),5.8328
Seychelles,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),5.5517
Seychelles,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),0.261
Seychelles,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.0932
Seychelles,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),72.7169
Seychelles,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0016
Seychelles,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.2751
Seychelles,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),0.0203
Seychelles,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),0.2253
Seychelles,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),13.8703
