País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
República Árabe Siria,Iraq,2010,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2294.520028
República Árabe Siria,Italia,2010,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1520.203182
República Árabe Siria,Alemania,2010,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1477.110789
República Árabe Siria,Turquía,2010,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,629.200212
República Árabe Siria,Arabia Saudita,2010,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,542.604001
República Árabe Siria,Turquía,2010,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1672.062124
República Árabe Siria,China,2010,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1545.913838
República Árabe Siria,Italia,2010,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1292.60688
República Árabe Siria,Ucrania,2010,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1133.850305
República Árabe Siria,Federación de Rusia,2010,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1108.850644
República Árabe Siria,Mundo,2010,Reino vegetal,Exportación,Exportaciones (en millones de US $),1127.15799
República Árabe Siria,Mundo,2010,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1198.888657
República Árabe Siria,Mundo,2010,Bienes intermedios,Exportación,Exportaciones (en millones de US $),1344.025068
República Árabe Siria,Mundo,2010,Combustibles,Exportación,Exportaciones (en millones de US $),5663.505802
República Árabe Siria,Mundo,2010,Metales,Exportación,Exportaciones (en millones de US $),292.219973
República Árabe Siria,Mundo,2010,Productos alimenticios,Exportación,Exportaciones (en millones de US $),793.901258
República Árabe Siria,Mundo,2010,Calzado,Exportación,Exportaciones (en millones de US $),111.20553
República Árabe Siria,Mundo,2010,Bienes de consumo,Exportación,Exportaciones (en millones de US $),3830.231573
República Árabe Siria,Mundo,2010,Minerales,Exportación,Exportaciones (en millones de US $),209.213276
República Árabe Siria,Mundo,2010,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),60.62866
República Árabe Siria,Mundo,2010,Bienes de capital,Exportación,Exportaciones (en millones de US $),205.319084
República Árabe Siria,Mundo,2010,Cueros y pieles,Exportación,Exportaciones (en millones de US $),34.014991
República Árabe Siria,Mundo,2010,Varios,Exportación,Exportaciones (en millones de US $),45.127479
República Árabe Siria,Mundo,2010,Plástico o caucho,Exportación,Exportaciones (en millones de US $),374.940177
República Árabe Siria,Mundo,2010,Transporte,Exportación,Exportaciones (en millones de US $),24.378
República Árabe Siria,Mundo,2010,Reino animal,Exportación,Exportaciones (en millones de US $),518.029337
República Árabe Siria,Mundo,2010,Madera,Exportación,Exportaciones (en millones de US $),126.440882
República Árabe Siria,Mundo,2010,Materias primas,Exportación,Exportaciones (en millones de US $),5969.848791
República Árabe Siria,Mundo,2010,Productos químicos,Exportación,Exportaciones (en millones de US $),552.565422
República Árabe Siria,Mundo,2010,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),220.706199
República Árabe Siria,Mundo,2010,Bienes intermedios,Importación,Importaciones (en millones de US $),6246.75887200001
República Árabe Siria,Mundo,2010,Bienes de capital,Importación,Importaciones (en millones de US $),2752.544186
República Árabe Siria,Mundo,2010,Bienes de consumo,Importación,Importaciones (en millones de US $),6912.47729299999
República Árabe Siria,Mundo,2010,Materias primas,Importación,Importaciones (en millones de US $),1645.539836
República Árabe Siria,Mundo,2010,Todos los productos,Exportación,Exportaciones (en millones de US $),11352.923632
República Árabe Siria,Mundo,2010,Todos los productos,Importación,Importaciones (en millones de US $),17561.575593
República Árabe Siria,Mundo,2010,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),2597234.092
República Árabe Siria,...,2010,...,Aranceles,N.o de acuerdos arancelarios,2
República Árabe Siria,...,2010,...,Importación,Número de asociados importadores,150
