País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Islas Turcas y Caicos,Estados Unidos,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11.049892
Islas Turcas y Caicos,No especificados ,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.762604
Islas Turcas y Caicos,Haití,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.01175
Islas Turcas y Caicos,República Dominicana,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.005556
Islas Turcas y Caicos,Ucrania,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.00036
Islas Turcas y Caicos,Estados Unidos,2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,202.468152
Islas Turcas y Caicos,Bahamas,2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,37.120573
Islas Turcas y Caicos,No especificados ,2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,24.378441
Islas Turcas y Caicos,Suiza,2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1.743843
Islas Turcas y Caicos,México,2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,0.479441
Islas Turcas y Caicos,Mundo,2012,Productos alimenticios,Exportación,Exportaciones (en millones de US $),0.015721
Islas Turcas y Caicos,Mundo,2012,Calzado,Exportación,Exportaciones (en millones de US $),0.002925
Islas Turcas y Caicos,Mundo,2012,Bienes de consumo,Exportación,Exportaciones (en millones de US $),8.136482
Islas Turcas y Caicos,Mundo,2012,Minerales,Exportación,Exportaciones (en millones de US $),0.010228
Islas Turcas y Caicos,Mundo,2012,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.280091
Islas Turcas y Caicos,Mundo,2012,Bienes de capital,Exportación,Exportaciones (en millones de US $),1.294761
Islas Turcas y Caicos,Mundo,2012,Combustibles,Exportación,Exportaciones (en millones de US $),0.00124
Islas Turcas y Caicos,Mundo,2012,Metales,Exportación,Exportaciones (en millones de US $),0.35773
Islas Turcas y Caicos,Mundo,2012,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.016006
Islas Turcas y Caicos,Mundo,2012,Transporte,Exportación,Exportaciones (en millones de US $),0.51424
Islas Turcas y Caicos,Mundo,2012,Productos químicos,Exportación,Exportaciones (en millones de US $),0.008803
Islas Turcas y Caicos,Mundo,2012,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),0.853636
Islas Turcas y Caicos,Mundo,2012,Reino vegetal,Exportación,Exportaciones (en millones de US $),0.000384
Islas Turcas y Caicos,Mundo,2012,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.018853
Islas Turcas y Caicos,Mundo,2012,Bienes intermedios,Exportación,Exportaciones (en millones de US $),0.110304
Islas Turcas y Caicos,Mundo,2012,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.00077
Islas Turcas y Caicos,Mundo,2012,Varios,Exportación,Exportaciones (en millones de US $),0.441338
Islas Turcas y Caicos,Mundo,2012,Reino animal,Exportación,Exportaciones (en millones de US $),1.984627
Islas Turcas y Caicos,Mundo,2012,Madera,Exportación,Exportaciones (en millones de US $),7.323671
Islas Turcas y Caicos,Mundo,2012,Materias primas,Exportación,Exportaciones (en millones de US $),2.037895
Islas Turcas y Caicos,Mundo,2012,Bienes intermedios,Importación,Importaciones (en millones de US $),19.36676
Islas Turcas y Caicos,Mundo,2012,Bienes de consumo,Importación,Importaciones (en millones de US $),188.791023
Islas Turcas y Caicos,Mundo,2012,Bienes de capital,Importación,Importaciones (en millones de US $),29.073744
Islas Turcas y Caicos,Mundo,2012,Materias primas,Importación,Importaciones (en millones de US $),27.748604
Islas Turcas y Caicos,Mundo,2012,Todos los productos,Exportación,Exportaciones (en millones de US $),11.830262
Islas Turcas y Caicos,Mundo,2012,Todos los productos,Importación,Importaciones (en millones de US $),268.531134
Islas Turcas y Caicos,...,2012,...,Importación,Número de asociados importadores,30
Islas Turcas y Caicos,...,2012,...,Importación,Número de productos importados,3298
Islas Turcas y Caicos,...,2012,...,Exportación,Número de asociados exportadores,6
Islas Turcas y Caicos,...,2012,...,Exportación,Número de productos exportados,218
Islas Turcas y Caicos,...,2018,...,Others,Population,37665
