País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Chad,Mundo,1995,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),1566.509
Chad,...,1995,...,Aranceles,N.o de acuerdos arancelarios,7
Chad,...,2019,...,Others,Ease of Doing Business Rank,182
Chad,...,2019,...,Others,Trading Across Borders Rank,173
Chad,...,2018,...,Others,Population,15477751
Chad,...,2016,...,Others,LPI Score,2.164453
Chad,...,2018,...,Others,CPIA Trade Ratings,3
Chad,...,2016,...,Others,LPI Rank,145
Chad,Mundo,1995,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),14.2739364667874
Chad,Mundo,1995,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),15.0383400173582
Chad,Mundo,1995,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),13.5658043196189
Chad,Mundo,1995,Materias primas,Aranceles,Promedio ponderado de aranceles (%),19.0153256676884
Chad,Mundo,1995,Todos los productos,Aranceles,Promedio simple de aranceles (%),17.0800973009138
Chad,Mundo,1995,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),14.5800678988311
Chad,Mundo,1995,Todos los productos,Aranceles,Tasa máxima de aranceles (%),30
Chad,Mundo,1995,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),0.535659626568717
