País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Togo,Burkina Faso,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,154.14120022748
Togo,Malí,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,119.807765217879
Togo,Benin,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,116.092732393607
Togo,Ghana,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,93.8596758296037
Togo,Níger,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,86.819296951996
Togo,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,564.860713608751
Togo,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,253.029888915618
Togo,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,179.460107960772
Togo,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,108.695076656844
Togo,Ghana,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,106.699436342175
Togo,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),205.234408475356
Togo,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.32873326736516
Togo,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),115.498151792495
Togo,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),105.949405901751
Togo,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),56.9124951843854
Togo,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),503.089858619397
Togo,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),120.582676796057
Togo,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),108.250489065044
Togo,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),205.793034491992
Togo,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),72.99928128968
Togo,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),22.1157604080639
Togo,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),81.6087110937569
Togo,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),23.9468300224563
Togo,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.11105316308512
Togo,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),4.70864944599557
Togo,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),27.7096877929848
Togo,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),22.2928597899225
Togo,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),255.411628008111
Togo,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),125.354242674772
Togo,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),101.687388541319
Togo,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),831.502645907385
Togo,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),1261.1266419207
Togo,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),604.388729814037
Togo,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),166.309003595416
Togo,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),1079.79267291199
Togo,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),2863.32702123754
Togo,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),422884.156606622
Togo,...,2021,...,Aranceles,N.o de acuerdos arancelarios,2
Togo,...,2021,...,Importación,Número de asociados importadores,134
Togo,...,2021,...,Importación,Número de productos importados,2477
Togo,...,2021,...,Exportación,Número de asociados exportadores,95
Togo,...,2021,...,Exportación,Número de productos exportados,719
Togo,...,2018,...,Others,Population,7889094
Togo,...,2018,...,Others,CPIA Trade Ratings,4
Togo,...,2016,...,Others,LPI Score,2.617778
Togo,...,2016,...,Others,LPI Rank,92
Togo,...,2019,...,Others,Ease of Doing Business Rank,97
Togo,...,2014,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
Togo,...,2014,...,Others,No Of NTM Measures,34
Togo,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1194208
Togo,...,2019,...,Others,Trading Across Borders Rank,131
Togo,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1149931
Togo,Burkina Faso,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,14.2751
Togo,Malí,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,11.0954
Togo,Benin,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.7514
Togo,Ghana,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.6924
Togo,Níger,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.0404
Togo,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,19.7274
Togo,Francia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.8369
Togo,India,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.2675
Togo,Japón,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.7961
Togo,Ghana,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.7264
Togo,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),11.1672
Togo,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),10.0251
Togo,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),19.0586
Togo,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),9.812
Togo,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),5.2707
Togo,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),46.5913
Togo,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),19.0068
Togo,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),0.0304
Togo,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),10.6963
Togo,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),6.7605
Togo,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),2.0481
Togo,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),2.5662
Togo,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),2.0646
Togo,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),23.6538
Togo,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0103
Togo,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.4361
Togo,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),7.5578
Togo,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),2.2177
Togo,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),11.6091
Togo,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),9.4173
Togo,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),29.0397
Togo,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),21.1079
Togo,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),44.0441
Togo,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),5.8082
Togo,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),8.42177399756794
Togo,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),13.9183191924964
Togo,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),9.50625980789391
Togo,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),10.9707514298305
Togo,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Togo,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),45.7171218446816
Togo,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),11.3281774557323
Togo,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),10.7311833482115
Togo,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),35
Togo,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),15.0111118593845
Togo,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.76636208282765
Togo,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.103557680815001
