País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Tailandia,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,41225.33026428
Tailandia,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,36577.24720994
Tailandia,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,24558.18272485
Tailandia,Viet Nam,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,12276.40396738
Tailandia,Malasia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11875.49098068
Tailandia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,66426.5481897199
Tailandia,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,35572.36237063
Tailandia,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,14575.60142618
Tailandia,Malasia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,12050.78465097
Tailandia,"Otra zona de Asia, no esp.",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,10486.36773779
Tailandia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),14064.37399366
Tailandia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),84323.00054816
Tailandia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),1308.74277317
Tailandia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),9188.3262246
Tailandia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),35263.08577894
Tailandia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),33608.37093872
Tailandia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),15211.23025199
Tailandia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),6527.72780898
Tailandia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),56942.3754743799
Tailandia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),19864.03135705
Tailandia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),680.05452442
Tailandia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),87087.5191048201
Tailandia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),3288.22337622
Tailandia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),5327.8444249
Tailandia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),19673.09602312
Tailandia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),1030.82938924
Tailandia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),12155.68791728
Tailandia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),102899.07416931
Tailandia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),9635.68382338
Tailandia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),15197.58312602
Tailandia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),82422.2677757601
Tailandia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),54444.1539248601
Tailandia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),90227.90429726
Tailandia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),41017.6559452801
