País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Tayikistán,Kazajstán,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,360.080581
Tayikistán,Suiza,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,354.064629
Tayikistán,Turquía,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,232.168396
Tayikistán,Uzbekistán,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,126.669602
Tayikistán,Bélgica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,88.773156
Tayikistán,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1280.50417565
Tayikistán,Kazajstán,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,816.5903284
Tayikistán,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,679.71989776
Tayikistán,Uzbekistán,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,326.07279734
Tayikistán,Turquía,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,158.28582085
Tayikistán,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),1.820731
Tayikistán,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),8.865789
Tayikistán,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),12.185514
Tayikistán,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),9.990993
Tayikistán,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),7.103767
Tayikistán,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.049823
Tayikistán,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),40.577711
Tayikistán,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),39.907923
Tayikistán,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),279.335375
Tayikistán,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),736.822654
Tayikistán,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),4.111017
Tayikistán,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),1.849542
Tayikistán,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),0.786728
Tayikistán,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),1.021127
Tayikistán,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),687.076629
Tayikistán,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),391.211243
Tayikistán,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),356.458157
Tayikistán,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),12.323002
