País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Turkmenistán,Federación de Rusia,2000,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1029.302693
Turkmenistán,Italia,2000,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,401.345654
Turkmenistán,"Irán, Rep. Islámica del",2000,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,241.958812
Turkmenistán,Turquía,2000,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,185.996787
Turkmenistán,Ucrania,2000,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,164.887207
Turkmenistán,Federación de Rusia,2000,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,254.491486
Turkmenistán,Turquía,2000,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,253.252016
Turkmenistán,Ucrania,2000,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,214.285212
Turkmenistán,Emiratos Árabes Unidos,2000,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,146.63084
Turkmenistán,Japón,2000,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,144.350126
Turkmenistán,Mundo,2000,Combustibles,Exportación,Exportaciones (en millones de US $),2029.733281
Turkmenistán,Mundo,2000,Metales,Exportación,Exportaciones (en millones de US $),9.628296
Turkmenistán,Mundo,2000,Minerales,Exportación,Exportaciones (en millones de US $),2.001205
Turkmenistán,Mundo,2000,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.897051
Turkmenistán,Mundo,2000,Bienes de capital,Exportación,Exportaciones (en millones de US $),12.506353
Turkmenistán,Mundo,2000,Productos alimenticios,Exportación,Exportaciones (en millones de US $),1.353339
Turkmenistán,Mundo,2000,Calzado,Exportación,Exportaciones (en millones de US $),
Turkmenistán,Mundo,2000,Bienes de consumo,Exportación,Exportaciones (en millones de US $),1810.304668
Turkmenistán,Mundo,2000,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.155505
Turkmenistán,Mundo,2000,Transporte,Exportación,Exportaciones (en millones de US $),14.221207
Turkmenistán,Mundo,2000,Cueros y pieles,Exportación,Exportaciones (en millones de US $),5.472569
Turkmenistán,Mundo,2000,Varios,Exportación,Exportaciones (en millones de US $),38.529544
Turkmenistán,Mundo,2000,Productos químicos,Exportación,Exportaciones (en millones de US $),11.260053
Turkmenistán,Mundo,2000,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),1.271139
Turkmenistán,Mundo,2000,Reino vegetal,Exportación,Exportaciones (en millones de US $),14.600054
Turkmenistán,Mundo,2000,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),375.653799
Turkmenistán,Mundo,2000,Bienes intermedios,Exportación,Exportaciones (en millones de US $),144.212647
Turkmenistán,Mundo,2000,Reino animal,Exportación,Exportaciones (en millones de US $),0.742715
Turkmenistán,Mundo,2000,Madera,Exportación,Exportaciones (en millones de US $),0.025787
Turkmenistán,Mundo,2000,Materias primas,Exportación,Exportaciones (en millones de US $),500.491915
Turkmenistán,Mundo,2000,Bienes intermedios,Importación,Importaciones (en millones de US $),325.964819
Turkmenistán,Mundo,2000,Bienes de consumo,Importación,Importaciones (en millones de US $),542.274249
Turkmenistán,Mundo,2000,Bienes de capital,Importación,Importaciones (en millones de US $),752.635846
Turkmenistán,Mundo,2000,Materias primas,Importación,Importaciones (en millones de US $),58.982498
Turkmenistán,Mundo,2000,Todos los productos,Exportación,Exportaciones (en millones de US $),2505.545544
Turkmenistán,Mundo,2000,Todos los productos,Importación,Importaciones (en millones de US $),1785.54035
Turkmenistán,Mundo,1998,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),1381384.724
Turkmenistán,...,1998,...,Aranceles,N.o de acuerdos arancelarios,4
Turkmenistán,...,2000,...,Importación,Número de asociados importadores,75
Turkmenistán,...,2000,...,Importación,Número de productos importados,3128
Turkmenistán,...,2000,...,Exportación,Número de asociados exportadores,58
Turkmenistán,...,2000,...,Exportación,Número de productos exportados,418
Turkmenistán,...,2018,...,Others,Population,5850908
Turkmenistán,...,2016,...,Others,LPI Score,2.211396
Turkmenistán,...,2016,...,Others,LPI Rank,140
Turkmenistán,Federación de Rusia,2000,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,41.081
Turkmenistán,Italia,2000,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,16.0183
Turkmenistán,"Irán, Rep. Islámica del",2000,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.6569
Turkmenistán,Turquía,2000,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.4234
Turkmenistán,Ucrania,2000,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.5809
Turkmenistán,Federación de Rusia,2000,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,14.2529
Turkmenistán,Turquía,2000,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,14.1835
Turkmenistán,Ucrania,2000,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,12.0011
Turkmenistán,Emiratos Árabes Unidos,2000,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.2121
Turkmenistán,Japón,2000,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.0844
Turkmenistán,Mundo,2000,Reino vegetal,Exportación,Exportaciones - Product share(en %),0.5827
Turkmenistán,Mundo,2000,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),14.9929
Turkmenistán,Mundo,2000,Bienes intermedios,Exportación,Exportaciones - Product share(en %),5.7557
Turkmenistán,Mundo,2000,Minerales,Exportación,Exportaciones - Product share(en %),0.0799
Turkmenistán,Mundo,2000,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),0.0358
Turkmenistán,Mundo,2000,Bienes de capital,Exportación,Exportaciones - Product share(en %),0.4991
Turkmenistán,Mundo,2000,Productos alimenticios,Exportación,Exportaciones - Product share(en %),0.054
Turkmenistán,Mundo,2000,Calzado,Exportación,Exportaciones - Product share(en %),
Turkmenistán,Mundo,2000,Bienes de consumo,Exportación,Exportaciones - Product share(en %),72.2519
Turkmenistán,Mundo,2000,Reino animal,Exportación,Exportaciones - Product share(en %),0.0296
Turkmenistán,Mundo,2000,Madera,Exportación,Exportaciones - Product share(en %),0.001
Turkmenistán,Mundo,2000,Materias primas,Exportación,Exportaciones - Product share(en %),19.9754
Turkmenistán,Mundo,2000,Combustibles,Exportación,Exportaciones - Product share(en %),81.0096
Turkmenistán,Mundo,2000,Metales,Exportación,Exportaciones - Product share(en %),0.3843
Turkmenistán,Mundo,2000,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.2184
Turkmenistán,Mundo,2000,Varios,Exportación,Exportaciones - Product share(en %),1.5378
Turkmenistán,Mundo,2000,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.0062
Turkmenistán,Mundo,2000,Transporte,Exportación,Exportaciones - Product share(en %),0.5676
Turkmenistán,Mundo,2000,Productos químicos,Exportación,Exportaciones - Product share(en %),0.4494
Turkmenistán,Mundo,2000,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),0.0507
Turkmenistán,Mundo,2000,Bienes de consumo,Importación,Importaciones - Product share(en %),30.3703
Turkmenistán,Mundo,2000,Bienes intermedios,Importación,Importaciones - Product share(en %),18.2558
Turkmenistán,Mundo,2000,Bienes de capital,Importación,Importaciones - Product share(en %),42.1517
Turkmenistán,Mundo,2000,Materias primas,Importación,Importaciones - Product share(en %),3.3033
Turkmenistán,Mundo,2000,Todos los productos,Trade Indicator,Crecimiento mundial (%),7.19316399220442
Turkmenistán,Mundo,2000,Todos los productos,Trade Indicator,Crecimiento del país (%),38.478869718722
Turkmenistán,Mundo,1998,Todos los productos,Aranceles,Promedio simple de aranceles (%),0
Turkmenistán,Mundo,1998,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),0
Turkmenistán,Mundo,1998,Todos los productos,Aranceles,Tasa máxima de aranceles (%),0
Turkmenistán,Mundo,1998,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),99.931926480599
Turkmenistán,...,2000,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.58956806585053
Turkmenistán,...,2000,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.293248121196093
