País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Timor Oriental,Indonesia,2017,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6.13575262
Timor Oriental,Estados Unidos,2017,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5.39033558
Timor Oriental,Alemania,2017,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3.29941288
Timor Oriental,China,2017,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.05151901
Timor Oriental,Australia,2017,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1.43692599
Timor Oriental,Indonesia,2017,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,187.49489387
Timor Oriental,China,2017,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,88.9372802799999
Timor Oriental,Singapur,2017,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,76.99840247
Timor Oriental,Hong Kong (China),2017,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,59.43716876
Timor Oriental,Viet Nam,2017,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,38.89502682
Timor Oriental,Mundo,2017,Productos químicos,Exportación,Exportaciones (en millones de US $),0.08240698
Timor Oriental,Mundo,2017,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),0.35716215
Timor Oriental,Mundo,2017,Reino vegetal,Exportación,Exportaciones (en millones de US $),16.01158012
Timor Oriental,Mundo,2017,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),4.59612274
Timor Oriental,Mundo,2017,Bienes intermedios,Exportación,Exportaciones (en millones de US $),0.38005744
Timor Oriental,Mundo,2017,Combustibles,Exportación,Exportaciones (en millones de US $),0.48576257
Timor Oriental,Mundo,2017,Metales,Exportación,Exportaciones (en millones de US $),0.37257414
Timor Oriental,Mundo,2017,Minerales,Exportación,Exportaciones (en millones de US $),0.01064221
Timor Oriental,Mundo,2017,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.00784811
Timor Oriental,Mundo,2017,Bienes de capital,Exportación,Exportaciones (en millones de US $),0.83974203
Timor Oriental,Mundo,2017,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.05329268
Timor Oriental,Mundo,2017,Transporte,Exportación,Exportaciones (en millones de US $),0.50420153
Timor Oriental,Mundo,2017,Productos alimenticios,Exportación,Exportaciones (en millones de US $),0.1005331
Timor Oriental,Mundo,2017,Calzado,Exportación,Exportaciones (en millones de US $),0.01085742
Timor Oriental,Mundo,2017,Bienes de consumo,Exportación,Exportaciones (en millones de US $),18.39890249
Timor Oriental,Mundo,2017,Reino animal,Exportación,Exportaciones (en millones de US $),0.82615941
Timor Oriental,Mundo,2017,Madera,Exportación,Exportaciones (en millones de US $),0.23014729
Timor Oriental,Mundo,2017,Materias primas,Exportación,Exportaciones (en millones de US $),4.5555608
Timor Oriental,Mundo,2017,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.02656714
Timor Oriental,Mundo,2017,Varios,Exportación,Exportaciones (en millones de US $),0.49840517
Timor Oriental,Mundo,2017,Bienes intermedios,Importación,Importaciones (en millones de US $),76.80245437
Timor Oriental,Mundo,2017,Bienes de consumo,Importación,Importaciones (en millones de US $),356.02470311
Timor Oriental,Mundo,2017,Bienes de capital,Importación,Importaciones (en millones de US $),111.46785091
Timor Oriental,Mundo,2017,Materias primas,Importación,Importaciones (en millones de US $),43.64595292
Timor Oriental,Mundo,2017,Todos los productos,Exportación,Exportaciones (en millones de US $),24.17426276
Timor Oriental,Mundo,2017,Todos los productos,Importación,Importaciones (en millones de US $),588.04730241
Timor Oriental,Mundo,2013,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),0
Timor Oriental,...,2013,...,Aranceles,N.o de acuerdos arancelarios,1
Timor Oriental,...,2017,...,Importación,Número de asociados importadores,82
Timor Oriental,...,2017,...,Importación,Número de productos importados,3305
Timor Oriental,...,2017,...,Exportación,Número de asociados exportadores,36
Timor Oriental,...,2017,...,Exportación,Número de productos exportados,416
Timor Oriental,...,2019,...,Others,Ease of Doing Business Rank,181
Timor Oriental,...,2019,...,Others,Trading Across Borders Rank,107
Timor Oriental,...,2018,...,Others,Population,1267972
Timor Oriental,...,2018,...,Others,CPIA Trade Ratings,4
Timor Oriental,Indonesia,2017,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,25.3813
Timor Oriental,Estados Unidos,2017,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,22.2978
Timor Oriental,Alemania,2017,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,13.6485
Timor Oriental,China,2017,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.4864
Timor Oriental,Australia,2017,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.944
Timor Oriental,Indonesia,2017,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,31.8843
Timor Oriental,China,2017,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,15.1242
Timor Oriental,Singapur,2017,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,13.0939
Timor Oriental,Hong Kong (China),2017,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.1075
Timor Oriental,Viet Nam,2017,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.6143
Timor Oriental,Mundo,2017,Reino vegetal,Exportación,Exportaciones - Product share(en %),66.234
Timor Oriental,Mundo,2017,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),19.0125
Timor Oriental,Mundo,2017,Bienes intermedios,Exportación,Exportaciones - Product share(en %),1.5722
Timor Oriental,Mundo,2017,Productos alimenticios,Exportación,Exportaciones - Product share(en %),0.4159
Timor Oriental,Mundo,2017,Calzado,Exportación,Exportaciones - Product share(en %),0.0449
Timor Oriental,Mundo,2017,Bienes de consumo,Exportación,Exportaciones - Product share(en %),76.1095
Timor Oriental,Mundo,2017,Minerales,Exportación,Exportaciones - Product share(en %),0.044
Timor Oriental,Mundo,2017,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),0.0325
Timor Oriental,Mundo,2017,Bienes de capital,Exportación,Exportaciones - Product share(en %),3.4737
Timor Oriental,Mundo,2017,Productos químicos,Exportación,Exportaciones - Product share(en %),0.3409
Timor Oriental,Mundo,2017,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),1.4774
Timor Oriental,Mundo,2017,Combustibles,Exportación,Exportaciones - Product share(en %),2.0094
Timor Oriental,Mundo,2017,Metales,Exportación,Exportaciones - Product share(en %),1.5412
Timor Oriental,Mundo,2017,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.1099
Timor Oriental,Mundo,2017,Varios,Exportación,Exportaciones - Product share(en %),2.0617
Timor Oriental,Mundo,2017,Reino animal,Exportación,Exportaciones - Product share(en %),3.4175
Timor Oriental,Mundo,2017,Madera,Exportación,Exportaciones - Product share(en %),0.952
Timor Oriental,Mundo,2017,Materias primas,Exportación,Exportaciones - Product share(en %),18.8447
Timor Oriental,Mundo,2017,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.2205
Timor Oriental,Mundo,2017,Transporte,Exportación,Exportaciones - Product share(en %),2.0857
Timor Oriental,Mundo,2017,Bienes intermedios,Importación,Importaciones - Product share(en %),13.0606
Timor Oriental,Mundo,2017,Bienes de consumo,Importación,Importaciones - Product share(en %),60.5435
Timor Oriental,Mundo,2017,Materias primas,Importación,Importaciones - Product share(en %),7.4222
