País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Tonga,Nueva Zelandia,2014,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4.377102
Tonga,Hong Kong (China),2014,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3.348616
Tonga,No especificados ,2014,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.920535
Tonga,Estados Unidos,2014,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.481265
Tonga,Japón,2014,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.053957
Tonga,Nueva Zelandia,2014,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,62.424969
Tonga,Singapur,2014,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,46.101535
Tonga,Estados Unidos,2014,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,23.684055
Tonga,Japón,2014,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,17.46215
Tonga,Fiji,2014,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,17.063674
Tonga,Mundo,2014,Reino vegetal,Exportación,Exportaciones (en millones de US $),6.783076
Tonga,Mundo,2014,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.022754
Tonga,Mundo,2014,Bienes intermedios,Exportación,Exportaciones (en millones de US $),3.18403
Tonga,Mundo,2014,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.073535
Tonga,Mundo,2014,Transporte,Exportación,Exportaciones (en millones de US $),0.106328
Tonga,Mundo,2014,Productos químicos,Exportación,Exportaciones (en millones de US $),0.314968
Tonga,Mundo,2014,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),0.491708
Tonga,Mundo,2014,Minerales,Exportación,Exportaciones (en millones de US $),0.000618
Tonga,Mundo,2014,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.132596
Tonga,Mundo,2014,Bienes de capital,Exportación,Exportaciones (en millones de US $),0.588757999999999
Tonga,Mundo,2014,Productos alimenticios,Exportación,Exportaciones (en millones de US $),0.454691
Tonga,Mundo,2014,Calzado,Exportación,Exportaciones (en millones de US $),0.001006
