País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Trinidad y Tobago,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3586.26079163569
Trinidad y Tobago,Guyana,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,577.19731048735
Trinidad y Tobago,México,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,372.126531333837
Trinidad y Tobago,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,315.004186780757
Trinidad y Tobago,Bélgica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,307.295060860497
Trinidad y Tobago,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1996.02132208962
Trinidad y Tobago,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,605.670476723592
Trinidad y Tobago,México,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,403.593085593767
Trinidad y Tobago,Brasil,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,323.026026837143
Trinidad y Tobago,Canadá,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,259.880603078314
Trinidad y Tobago,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),2350.17577672134
Trinidad y Tobago,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),910.977408482605
Trinidad y Tobago,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),28.4371063260156
Trinidad y Tobago,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),7.58309097659916
Trinidad y Tobago,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),5004.2116776266
Trinidad y Tobago,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),36.1058894523123
Trinidad y Tobago,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),35.984260496074
Trinidad y Tobago,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),481.109056948864
Trinidad y Tobago,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),387.333596731077
Trinidad y Tobago,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.21123097958876
Trinidad y Tobago,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),1789.24954326677
Trinidad y Tobago,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),4121.19614064777
Trinidad y Tobago,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),154.154178220534
Trinidad y Tobago,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),14.8816628518383
Trinidad y Tobago,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),80.548907917243
Trinidad y Tobago,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),1288.61939638981
Trinidad y Tobago,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),66.8409120482709
Trinidad y Tobago,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),320.32793037503
Trinidad y Tobago,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.29777153857768
Trinidad y Tobago,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),105.172761151234
Trinidad y Tobago,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),1294.03354218138
Trinidad y Tobago,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),1856.51317206333
Trinidad y Tobago,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),1736.12357578743
Trinidad y Tobago,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),869.510404589917
Trinidad y Tobago,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),8620.22862491611
Trinidad y Tobago,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),5760.69889564032
Trinidad y Tobago,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),3361228.81237958
Trinidad y Tobago,...,2021,...,Aranceles,N.o de acuerdos arancelarios,1
Trinidad y Tobago,...,2021,...,Importación,Número de asociados importadores,188
Trinidad y Tobago,...,2021,...,Importación,Número de productos importados,3669
Trinidad y Tobago,...,2021,...,Exportación,Número de asociados exportadores,123
Trinidad y Tobago,...,2021,...,Exportación,Número de productos exportados,2571
Trinidad y Tobago,...,2019,...,Others,Trading Across Borders Rank,134
Trinidad y Tobago,...,2018,...,Others,Population,1389858
Trinidad y Tobago,...,2016,...,Others,LPI Score,2.398418
Trinidad y Tobago,...,2019,...,Others,Ease of Doing Business Rank,105
Trinidad y Tobago,...,2010,...,Others,No Of NTM Affected Products (HS 6 Digit),1
Trinidad y Tobago,...,2010,...,Others,No Of NTM Measures,1
Trinidad y Tobago,...,,...,Others,Services Trade Restrictions Index - Over All,10.9
Trinidad y Tobago,...,2016,...,Others,LPI Rank,121
Trinidad y Tobago,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,41.6029
Trinidad y Tobago,Guyana,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.6958
Trinidad y Tobago,México,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.3169
